ko	Genes
ko:K14209	Tco_000538
ko:K09542	Tco_000540
ko:K09542	Tco_000541
ko:K10595	Tco_000545
ko:K20125	Tco_000547
ko:K01376	Tco_000549
ko:K10573	Tco_000550
ko:K08054	Tco_000551
ko:K19178	Tco_000552
ko:K00666	Tco_000557
ko:K12160	Tco_000558
ko:K13220	Tco_000560
ko:K06267	Tco_000561
ko:K06267	Tco_000562
ko:K14307	Tco_000565
ko:K18083	Tco_000566
ko:K20231	Tco_000567
ko:K08582	Tco_000568
ko:K19519	Tco_000569
ko:K20028	Tco_000571
ko:K06174	Tco_000572
ko:K04950	Tco_000574
ko:K04950	Tco_000575
ko:K13948	Tco_000576
ko:K02327	Tco_000581
ko:K17352	Tco_000582
ko:K17102	Tco_000583
ko:K02327	Tco_000584
ko:K17352	Tco_000585
ko:K09856	Tco_000589
ko:K00789	Tco_000600
ko:K21594	Tco_000601
ko:K21643	Tco_000601
ko:K02520	Tco_000602
ko:K09191	Tco_000603
ko:K16939	Tco_000604
ko:K01443	Tco_000605
ko:K02902	Tco_000607
ko:K01530	Tco_000608
ko:K09655	Tco_000610
ko:K13122	Tco_000611
ko:K17824	Tco_000612
ko:K15720	Tco_000613
ko:K10756	Tco_000617
ko:K16461	Tco_000618
ko:K03849	Tco_000621
ko:K11316	Tco_000625
ko:K03968	Tco_000627
ko:K12826	Tco_000628
ko:K10807	Tco_000631
ko:K15101	Tco_000632
ko:K03644	Tco_000637
ko:K00666	Tco_000638
ko:K00666	Tco_000639
ko:K00666	Tco_000640
ko:K00666	Tco_000642
ko:K00666	Tco_000643
ko:K00666	Tco_000644
ko:K00666	Tco_000645
ko:K00666	Tco_000647
ko:K00666	Tco_000648
ko:K00666	Tco_000652
ko:K00666	Tco_000653
ko:K00666	Tco_000655
ko:K01897	Tco_000655
ko:K00666	Tco_000658
ko:K00666	Tco_000659
ko:K00666	Tco_000660
ko:K00666	Tco_000661
ko:K01897	Tco_000661
ko:K00666	Tco_000662
ko:K12345	Tco_000663
ko:K12669	Tco_000664
ko:K12669	Tco_000665
ko:K12564	Tco_000672
ko:K00738	Tco_000673
ko:K02907	Tco_000676
ko:K14381	Tco_000692
ko:K18403	Tco_000693
ko:K12566	Tco_000696
ko:K09310	Tco_000702
ko:K01136	Tco_000703
ko:K00311	Tco_000705
ko:K11997	Tco_000712
ko:K06287	Tco_000714
ko:K14285	Tco_000715
ko:K20478	Tco_000718
ko:K06911	Tco_000722
ko:K04967	Tco_000723
ko:K08031	Tco_000745
ko:K06704	Tco_000746
ko:K08031	Tco_000747
ko:K21413	Tco_000748
ko:K08031	Tco_000750
ko:K17361	Tco_000752
ko:K15168	Tco_000753
ko:K00693	Tco_000754
ko:K09562	Tco_000756
ko:K17867	Tco_000757
ko:K08826	Tco_000759
ko:K03165	Tco_000768
ko:K03260	Tco_000779
ko:K17682	Tco_000779
ko:K13911	Tco_000795
ko:K14398	Tco_000795
ko:K04967	Tco_000802
ko:K08775	Tco_000804
ko:K06269	Tco_000808
ko:K09571	Tco_000808
ko:K03023	Tco_000812
ko:K08145	Tco_000813
ko:K14258	Tco_000814
ko:K08145	Tco_000815
ko:K14258	Tco_000816
ko:K14258	Tco_000817
ko:K08145	Tco_000819
ko:K14258	Tco_000820
ko:K02540	Tco_000823
ko:K08796	Tco_000825
ko:K16765	Tco_000827
ko:K16816	Tco_000827
ko:K08790	Tco_000828
ko:K03135	Tco_000831
ko:K18575	Tco_000833
ko:K18575	Tco_000836
ko:K04458	Tco_000838
ko:K20220	Tco_000838
ko:K10858	Tco_000842
ko:K00666	Tco_000850
ko:K01374	Tco_000859
ko:K02985	Tco_000860
ko:K14400	Tco_000861
ko:K02890	Tco_000862
ko:K00418	Tco_000863
ko:K07190	Tco_000864
ko:K03538	Tco_000865
ko:K18666	Tco_000867
ko:K02580	Tco_000868
ko:K04469	Tco_000868
ko:K09539	Tco_000869
ko:K15135	Tco_000871
ko:K08064	Tco_000872
ko:K19751	Tco_000873
ko:K18667	Tco_000876
ko:K20407	Tco_000877
ko:K17495	Tco_000878
ko:K09269	Tco_000886
ko:K17757	Tco_000888
ko:K17780	Tco_000889
ko:K07575	Tco_000890
ko:K16761	Tco_000891
ko:K10294	Tco_000892
ko:K11854	Tco_000893
ko:K19525	Tco_000897
ko:K03017	Tco_000898
ko:K14944	Tco_000899
ko:K10407	Tco_000903
ko:K13119	Tco_000904
ko:K06627	Tco_000905
ko:K02963	Tco_000906
ko:K20689	Tco_000907
ko:K13525	Tco_000908
ko:K14575	Tco_000908
ko:K18486	Tco_000910
ko:K20032	Tco_000911
ko:K01893	Tco_000912
ko:K20397	Tco_000913
ko:K14850	Tco_000914
ko:K18757	Tco_000915
ko:K20792	Tco_000919
ko:K07920	Tco_000920
ko:K06133	Tco_000921
ko:K12319	Tco_000922
ko:K12318	Tco_000926
ko:K06704	Tco_000928
ko:K00326	Tco_000931
ko:K14407	Tco_000933
ko:K02605	Tco_000935
ko:K08791	Tco_000937
ko:K00868	Tco_000938
ko:K12586	Tco_000939
ko:K16912	Tco_000939
ko:K18668	Tco_000940
ko:K20044	Tco_000941
ko:K20241	Tco_000941
ko:K18161	Tco_000943
ko:K11462	Tco_000944
ko:K16474	Tco_000945
ko:K08791	Tco_000946
ko:K07925	Tco_000947
ko:K15287	Tco_000948
ko:K10798	Tco_000953
ko:K18798	Tco_000957
ko:K10721	Tco_000958
ko:K05313	Tco_000962
ko:K05313	Tco_000963
ko:K05313	Tco_000964
ko:K00019	Tco_000966
ko:K04373	Tco_000967
ko:K03236	Tco_000969
ko:K17410	Tco_000969
ko:K12192	Tco_000970
ko:K10612	Tco_000971
ko:K10612	Tco_000973
ko:K03014	Tco_000974
ko:K19828	Tco_000975
ko:K18406	Tco_000976
ko:K20045	Tco_000977
ko:K00802	Tco_000978
ko:K00802	Tco_000979
ko:K10172	Tco_000981
ko:K10184	Tco_000981
ko:K09408	Tco_000984
ko:K18465	Tco_000986
ko:K09292	Tco_000988
ko:K17607	Tco_000990
ko:K22377	Tco_000991
ko:K03242	Tco_000992
ko:K11419	Tco_000992
ko:K07553	Tco_000993
ko:K07966	Tco_000993
ko:K07967	Tco_000993
ko:K07967	Tco_000995
ko:K07295	Tco_000996
ko:K22138	Tco_000997
ko:K07765	Tco_000998
ko:K06704	Tco_001000
ko:K06704	Tco_001004
ko:K16772	Tco_001006
ko:K16772	Tco_001007
ko:K05088	Tco_001010
ko:K01867	Tco_001013
ko:K00228	Tco_001014
ko:K08518	Tco_001016
ko:K06704	Tco_001017
ko:K08518	Tco_001020
ko:K12474	Tco_001021
ko:K02983	Tco_001022
ko:K15708	Tco_001022
ko:K09093	Tco_001023
ko:K09093	Tco_001024
ko:K07767	Tco_001032
ko:K17277	Tco_001035
ko:K14784	Tco_001036
ko:K20307	Tco_001037
ko:K16060	Tco_001038
ko:K16061	Tco_001038
ko:K10335	Tco_001039
ko:K16302	Tco_001039
ko:K18405	Tco_001040
ko:K12860	Tco_001041
ko:K13219	Tco_001043
ko:K08202	Tco_001045
ko:K08202	Tco_001046
ko:K08202	Tco_001047
ko:K08202	Tco_001048
ko:K11795	Tco_001049
ko:K12470	Tco_001052
ko:K16729	Tco_001053
ko:K16730	Tco_001053
ko:K17781	Tco_001054
ko:K14439	Tco_001055
ko:K10358	Tco_001056
ko:K15710	Tco_001060
ko:K06704	Tco_001062
ko:K12654	Tco_001065
ko:K00167	Tco_001068
ko:K13247	Tco_001070
ko:K02896	Tco_001071
ko:K16717	Tco_001072
ko:K11390	Tco_001074
ko:K02260	Tco_001075
ko:K03127	Tco_001076
ko:K01230	Tco_001077
ko:K11875	Tco_001078
ko:K02987	Tco_001082
ko:K17598	Tco_001085
ko:K06013	Tco_001086
ko:K16546	Tco_001087
ko:K19882	Tco_001088
ko:K15331	Tco_001091
ko:K05929	Tco_001095
ko:K05929	Tco_001096
ko:K08202	Tco_001101
ko:K17536	Tco_001102
ko:K05731	Tco_001103
ko:K13093	Tco_001105
ko:K14556	Tco_001106
ko:K10133	Tco_001107
ko:K21871	Tco_001110
ko:K12827	Tco_001111
ko:K05022	Tco_001113
ko:K16809	Tco_001116
ko:K12603	Tco_001117
ko:K12603	Tco_001118
ko:K12401	Tco_001119
ko:K13907	Tco_001120
ko:K13093	Tco_001122
ko:K12816	Tco_001123
ko:K06220	Tco_001124
ko:K00029	Tco_001125
ko:K01611	Tco_001126
ko:K02208	Tco_001127
ko:K03960	Tco_001128
ko:K11461	Tco_001129
ko:K11465	Tco_001129
ko:K04459	Tco_001130
ko:K14165	Tco_001130
ko:K04667	Tco_001131
ko:K19607	Tco_001132
ko:K16675	Tco_001134
ko:K21760	Tco_001137
ko:K11887	Tco_001138
ko:K11807	Tco_001139
ko:K14847	Tco_001140
ko:K13191	Tco_001142
ko:K15560	Tco_001142
ko:K04565	Tco_001143
ko:K21435	Tco_001144
ko:K04321	Tco_001148
ko:K08409	Tco_001148
ko:K14776	Tco_001150
ko:K11344	Tco_001155
ko:K01363	Tco_001156
ko:K01363	Tco_001157
ko:K01942	Tco_001158
ko:K01942	Tco_001159
ko:K09100	Tco_001160
ko:K22070	Tco_001162
ko:K20526	Tco_001163
ko:K17410	Tco_001164
ko:K09540	Tco_001166
ko:K19476	Tco_001167
ko:K20186	Tco_001168
ko:K13108	Tco_001169
ko:K19177	Tco_001170
ko:K13170	Tco_001171
ko:K10684	Tco_001172
ko:K03104	Tco_001173
ko:K11313	Tco_001174
ko:K09280	Tco_001179
ko:K17572	Tco_001181
ko:K05762	Tco_001182
ko:K04564	Tco_001185
ko:K18398	Tco_001186
ko:K13754	Tco_001193
ko:K13754	Tco_001195
ko:K00161	Tco_001198
ko:K11798	Tco_001200
ko:K11778	Tco_001201
ko:K06236	Tco_001207
ko:K06237	Tco_001207
ko:K19720	Tco_001207
ko:K09186	Tco_001208
ko:K10592	Tco_001208
ko:K11878	Tco_001220
ko:K13803	Tco_001221
ko:K08545	Tco_001254
ko:K01099	Tco_001264
ko:K01099	Tco_001265
ko:K21108	Tco_001271
ko:K21108	Tco_001272
ko:K14304	Tco_001273
ko:K12868	Tco_001274
ko:K04169	Tco_001275
ko:K12812	Tco_001275
ko:K16546	Tco_001283
ko:K04967	Tco_001284
ko:K01887	Tco_001285
ko:K07404	Tco_001286
ko:K01887	Tco_001288
ko:K07404	Tco_001289
ko:K00503	Tco_001292
ko:K01349	Tco_001309
ko:K09365	Tco_001310
ko:K14769	Tco_001315
ko:K02996	Tco_001316
ko:K05662	Tco_001319
ko:K22384	Tco_001320
ko:K20641	Tco_001323
ko:K00761	Tco_001324
ko:K16749	Tco_001325
ko:K01866	Tco_001327
ko:K11653	Tco_001328
ko:K02884	Tco_001330
ko:K15437	Tco_001331
ko:K04404	Tco_001334
ko:K10141	Tco_001335
ko:K10141	Tco_001336
ko:K20394	Tco_001336
ko:K11547	Tco_001337
ko:K05030	Tco_001338
ko:K05030	Tco_001339
ko:K05030	Tco_001340
ko:K05030	Tco_001341
ko:K16312	Tco_001342
ko:K00844	Tco_001343
ko:K14324	Tco_001344
ko:K19525	Tco_001346
ko:K19176	Tco_001347
ko:K19176	Tco_001348
ko:K19176	Tco_001349
ko:K19176	Tco_001350
ko:K19176	Tco_001351
ko:K10752	Tco_001352
ko:K20068	Tco_001353
ko:K02354	Tco_001354
ko:K04306	Tco_001358
ko:K04307	Tco_001358
ko:K16806	Tco_001359
ko:K01937	Tco_001360
ko:K02433	Tco_001363
ko:K03386	Tco_001365
ko:K04427	Tco_001366
ko:K13211	Tco_001367
ko:K05030	Tco_001369
ko:K11259	Tco_001374
ko:K07422	Tco_001376
ko:K07422	Tco_001377
ko:K08145	Tco_001381
ko:K08596	Tco_001383
ko:K03136	Tco_001388
ko:K07933	Tco_001390
ko:K12820	Tco_001391
ko:K14305	Tco_001391
ko:K14305	Tco_001393
ko:K18809	Tco_001394
ko:K09528	Tco_001399
ko:K05758	Tco_001400
ko:K09291	Tco_001410
ko:K20478	Tco_001410
ko:K14453	Tco_001413
ko:K14700	Tco_001413
ko:K14701	Tco_001413
ko:K14702	Tco_001413
ko:K14703	Tco_001413
ko:K14704	Tco_001413
ko:K14707	Tco_001413
ko:K17341	Tco_001413
ko:K02990	Tco_001419
ko:K20526	Tco_001420
ko:K17918	Tco_001421
ko:K14567	Tco_001422
ko:K22422	Tco_001423
ko:K22422	Tco_001424
ko:K20302	Tco_001434
ko:K17495	Tco_001437
ko:K17903	Tco_001438
ko:K08339	Tco_001439
ko:K12505	Tco_001440
ko:K22193	Tco_001441
ko:K01578	Tco_001442
ko:K00626	Tco_001443
ko:K07404	Tco_001444
ko:K07404	Tco_001445
ko:K04428	Tco_001447
ko:K10578	Tco_001448
ko:K02137	Tco_001451
ko:K12199	Tco_001452
ko:K03144	Tco_001453
ko:K08187	Tco_001454
ko:K01365	Tco_001455
ko:K01365	Tco_001456
ko:K01365	Tco_001457
ko:K01365	Tco_001458
ko:K01365	Tco_001459
ko:K01365	Tco_001461
ko:K01365	Tco_001462
ko:K02540	Tco_001464
ko:K02540	Tco_001466
ko:K01365	Tco_001467
ko:K21423	Tco_001468
ko:K12735	Tco_001469
ko:K00626	Tco_001470
ko:K12197	Tco_001471
ko:K11450	Tco_001472
ko:K11450	Tco_001482
ko:K14157	Tco_001483
ko:K14572	Tco_001486
ko:K00485	Tco_001488
ko:K15042	Tco_001490
ko:K15043	Tco_001490
ko:K11844	Tco_001492
ko:K03126	Tco_001498
ko:K08202	Tco_001499
ko:K14945	Tco_001501
ko:K13179	Tco_001505
ko:K13341	Tco_001506
ko:K04426	Tco_001507
ko:K00451	Tco_001508
ko:K00451	Tco_001509
ko:K18754	Tco_001510
ko:K18663	Tco_001512
ko:K02349	Tco_001513
ko:K14861	Tco_001514
ko:K02956	Tco_001516
ko:K01365	Tco_001519
ko:K01365	Tco_001520
ko:K01365	Tco_001521
ko:K19176	Tco_001523
ko:K02842	Tco_001524
ko:K00685	Tco_001526
ko:K16762	Tco_001528
ko:K05702	Tco_001532
ko:K04556	Tco_001535
ko:K02350	Tco_001537
ko:K22139	Tco_001552
ko:K06546	Tco_001558
ko:K09640	Tco_001563
ko:K01310	Tco_001564
ko:K07819	Tco_001565
ko:K07820	Tco_001565
ko:K13084	Tco_001567
ko:K10605	Tco_001570
ko:K07859	Tco_001571
ko:K07859	Tco_001574
ko:K07859	Tco_001575
ko:K21111	Tco_001578
ko:K10683	Tco_001580
ko:K02901	Tco_001581
ko:K10424	Tco_001582
ko:K07512	Tco_001583
ko:K09500	Tco_001584
ko:K22068	Tco_001585
ko:K07962	Tco_001587
ko:K08734	Tco_001588
ko:K09521	Tco_001589
ko:K03232	Tco_001590
ko:K03934	Tco_001591
ko:K01648	Tco_001592
ko:K12160	Tco_001593
ko:K13163	Tco_001594
ko:K14820	Tco_001594
ko:K09884	Tco_001597
ko:K14320	Tco_001598
ko:K07435	Tco_001599
ko:K07435	Tco_001600
ko:K07910	Tco_001601
ko:K11550	Tco_001602
ko:K20126	Tco_001603
ko:K04710	Tco_001604
ko:K04710	Tco_001605
ko:K15335	Tco_001607
ko:K14726	Tco_001608
ko:K17197	Tco_001608
ko:K00814	Tco_001609
ko:K05692	Tco_001611
ko:K05692	Tco_001612
ko:K15730	Tco_001613
ko:K15382	Tco_001614
ko:K02921	Tco_001617
ko:K00698	Tco_001625
ko:K01116	Tco_001627
ko:K14947	Tco_001628
ko:K11978	Tco_001632
ko:K17455	Tco_001632
ko:K09508	Tco_001633
ko:K09512	Tco_001633
ko:K08520	Tco_001634
ko:K14399	Tco_001635
ko:K01185	Tco_001636
ko:K13915	Tco_001636
ko:K20315	Tco_001638
ko:K15144	Tco_001639
ko:K16746	Tco_001641
ko:K08762	Tco_001642
ko:K00019	Tco_001643
ko:K00061	Tco_001643
ko:K11154	Tco_001643
ko:K10396	Tco_001646
ko:K10730	Tco_001647
ko:K11154	Tco_001649
ko:K13369	Tco_001649
ko:K11154	Tco_001650
ko:K13369	Tco_001650
ko:K00019	Tco_001651
ko:K00061	Tco_001651
ko:K11154	Tco_001651
ko:K13369	Tco_001651
ko:K00019	Tco_001652
ko:K00061	Tco_001652
ko:K11154	Tco_001652
ko:K13369	Tco_001652
ko:K17941	Tco_001653
ko:K13369	Tco_001654
ko:K11667	Tco_001655
ko:K05312	Tco_001663
ko:K04577	Tco_001665
ko:K04579	Tco_001665
ko:K04585	Tco_001665
ko:K15429	Tco_001668
ko:K07071	Tco_001669
ko:K12391	Tco_001670
ko:K12391	Tco_001671
ko:K10798	Tco_001674
ko:K14354	Tco_001681
ko:K14355	Tco_001681
ko:K01019	Tco_001683
ko:K09675	Tco_001683
ko:K00599	Tco_001684
ko:K00599	Tco_001685
ko:K01019	Tco_001686
ko:K09675	Tco_001686
ko:K01019	Tco_001687
ko:K09675	Tco_001687
ko:K14388	Tco_001689
ko:K04576	Tco_001690
ko:K04579	Tco_001690
ko:K04576	Tco_001692
ko:K04579	Tco_001692
ko:K00599	Tco_001698
ko:K07950	Tco_001699
ko:K11498	Tco_001700
ko:K03257	Tco_001700
ko:K08588	Tco_001701
ko:K14779	Tco_001701
ko:K19919	Tco_001703
ko:K16484	Tco_001704
ko:K14863	Tco_001705
ko:K01415	Tco_001706
ko:K15902	Tco_001713
ko:K03861	Tco_001714
ko:K20804	Tco_001715
ko:K00889	Tco_001721
ko:K00920	Tco_001721
ko:K06767	Tco_001735
ko:K06768	Tco_001735
ko:K16353	Tco_001735
ko:K16682	Tco_001738
ko:K14765	Tco_001740
ko:K10661	Tco_001741
ko:K08545	Tco_001742
ko:K08546	Tco_001742
ko:K06066	Tco_001744
ko:K06629	Tco_001745
ko:K12309	Tco_001749
ko:K12309	Tco_001750
ko:K12309	Tco_001751
ko:K12309	Tco_001752
ko:K12384	Tco_001754
ko:K13885	Tco_001754
ko:K18027	Tco_001755
ko:K18037	Tco_001755
ko:K12483	Tco_001757
ko:K14410	Tco_001757
ko:K00731	Tco_001758
ko:K17461	Tco_001759
ko:K14388	Tco_001760
ko:K14386	Tco_001761
ko:K14388	Tco_001761
ko:K10843	Tco_001762
ko:K11270	Tco_001762
ko:K07579	Tco_001768
ko:K18420	Tco_001774
ko:K01672	Tco_001775
ko:K04153	Tco_001779
ko:K15208	Tco_001782
ko:K16481	Tco_001783
ko:K16551	Tco_001783
ko:K20478	Tco_001783
ko:K21396	Tco_001788
ko:K14388	Tco_001792
ko:K14410	Tco_001793
ko:K19283	Tco_001794
ko:K14410	Tco_001795
ko:K19283	Tco_001795
ko:K19284	Tco_001795
ko:K11406	Tco_001796
ko:K04632	Tco_001799
ko:K14299	Tco_001800
ko:K16725	Tco_001800
ko:K16782	Tco_001801
ko:K11810	Tco_001803
ko:K14388	Tco_001809
ko:K04237	Tco_001811
ko:K10740	Tco_001812
ko:K05940	Tco_001814
ko:K08592	Tco_001816
ko:K21398	Tco_001821
ko:K14388	Tco_001822
ko:K14386	Tco_001823
ko:K14388	Tco_001823
ko:K14388	Tco_001824
ko:K14386	Tco_001825
ko:K14388	Tco_001825
ko:K00731	Tco_001828
ko:K18189	Tco_001830
ko:K00710	Tco_001831
ko:K00857	Tco_001832
ko:K05961	Tco_001832
ko:K07756	Tco_001836
ko:K14856	Tco_001838
ko:K11273	Tco_001842
ko:K04987	Tco_001843
ko:K04987	Tco_001849
ko:K04987	Tco_001857
ko:K10798	Tco_001858
ko:K01183	Tco_001860
ko:K03038	Tco_001863
ko:K01007	Tco_001864
ko:K01007	Tco_001866
ko:K18172	Tco_001872
ko:K20636	Tco_001874
ko:K20637	Tco_001874
ko:K01007	Tco_001875
ko:K01007	Tco_001876
ko:K01007	Tco_001877
ko:K01183	Tco_001878
ko:K15362	Tco_001879
ko:K20029	Tco_001883
ko:K12589	Tco_001884
ko:K01672	Tco_001885
ko:K08811	Tco_001886
ko:K12301	Tco_001889
ko:K06767	Tco_001891
ko:K06768	Tco_001891
ko:K16353	Tco_001891
ko:K20128	Tco_001894
ko:K14530	Tco_001895
ko:K11506	Tco_001896
ko:K10761	Tco_001897
ko:K19930	Tco_001903
ko:K14410	Tco_001905
ko:K07393	Tco_001908
ko:K17907	Tco_001909
ko:K17907	Tco_001910
ko:K08874	Tco_001911
ko:K18643	Tco_001912
ko:K13990	Tco_001914
ko:K00569	Tco_001916
ko:K00569	Tco_001918
ko:K14410	Tco_001919
ko:K08576	Tco_001922
ko:K12606	Tco_001923
ko:K14034	Tco_001924
ko:K09671	Tco_001926
ko:K06890	Tco_001928
ko:K06756	Tco_001930
ko:K06756	Tco_001931
ko:K05636	Tco_001932
ko:K00643	Tco_001935
ko:K10580	Tco_001936
ko:K17654	Tco_001938
ko:K07297	Tco_001940
ko:K08794	Tco_001941
ko:K15682	Tco_001942
ko:K06068	Tco_001948
ko:K16478	Tco_001949
ko:K04513	Tco_001951
ko:K11972	Tco_001952
ko:K02358	Tco_001955
ko:K11419	Tco_001955
ko:K08835	Tco_001960
ko:K05544	Tco_001962
ko:K05544	Tco_001963
ko:K09073	Tco_001979
ko:K08371	Tco_001980
ko:K08543	Tco_001984
ko:K08544	Tco_001984
ko:K14031	Tco_001984
ko:K14311	Tco_001985
ko:K02540	Tco_001986
ko:K07819	Tco_001988
ko:K00733	Tco_001989
ko:K20251	Tco_001991
ko:K08867	Tco_001992
ko:K07374	Tco_001997
ko:K16573	Tco_001998
ko:K05676	Tco_001999
ko:K12622	Tco_002000
ko:K14004	Tco_002005
ko:K13102	Tco_002006
ko:K01008	Tco_002007
ko:K10270	Tco_002008
ko:K05658	Tco_002009
ko:K05658	Tco_002010
ko:K05658	Tco_002011
ko:K05658	Tco_002012
ko:K05658	Tco_002013
