KOG	Genes
S	Tco_000340
J	Tco_000341
P	Tco_000342
S	Tco_000344
S	Tco_000345
S	Tco_000361
U	Tco_000365
C	Tco_000366
DJ	Tco_000367
T	Tco_000368
F	Tco_000369
S	Tco_000376
K	Tco_000381
P	Tco_000382
T	Tco_000383
T	Tco_000384
K	Tco_000385
A	Tco_000387
S	Tco_000388
K	Tco_000389
K	Tco_000391
Z	Tco_000393
K	Tco_000396
IT	Tco_000398
IT	Tco_000399
IT	Tco_000400
P	Tco_000401
M	Tco_000402
H	Tco_000403
M	Tco_000404
K	Tco_000405
S	Tco_000406
K	Tco_000407
S	Tco_000408
MU	Tco_000409
I	Tco_000410
S	Tco_000411
S	Tco_000412
S	Tco_000413
S	Tco_000414
S	Tco_000416
S	Tco_000417
S	Tco_000418
P	Tco_000419
EPT	Tco_000420
TZ	Tco_000421
Q	Tco_000422
Q	Tco_000423
S	Tco_000424
Q	Tco_000427
Q	Tco_000428
S	Tco_000429
Q	Tco_000432
Q	Tco_000433
Q	Tco_000434
S	Tco_000435
S	Tco_000437
A	Tco_000438
L	Tco_000439
S	Tco_000440
J	Tco_000441
S	Tco_000442
O	Tco_000447
O	Tco_000504
O	Tco_000505
S	Tco_000507
TZ	Tco_000510
TZ	Tco_000511
M	Tco_000512
K	Tco_000513
T	Tco_000525
T	Tco_000526
T	Tco_000527
IU	Tco_000528
O	Tco_000529
K	Tco_000530
T	Tco_000531
S	Tco_000532
E	Tco_000534
E	Tco_000535
E	Tco_000536
E	Tco_000538
O	Tco_000540
O	Tco_000541
O	Tco_000545
PT	Tco_000546
Z	Tco_000547
S	Tco_000548
J	Tco_000549
O	Tco_000550
O	Tco_000551
A	Tco_000552
I	Tco_000557
O	Tco_000558
K	Tco_000559
A	Tco_000560
S	Tco_000561
S	Tco_000562
T	Tco_000563
S	Tco_000564
S	Tco_000565
S	Tco_000566
T	Tco_000567
O	Tco_000568
MW	Tco_000569
S	Tco_000571
A	Tco_000572
P	Tco_000574
P	Tco_000575
L	Tco_000576
L	Tco_000581
S	Tco_000582
K	Tco_000583
L	Tco_000584
S	Tco_000585
W	Tco_000589
S	Tco_000596
A	Tco_000597
S	Tco_000598
EI	Tco_000600
J	Tco_000601
J	Tco_000602
K	Tco_000603
D	Tco_000604
G	Tco_000605
K	Tco_000606
J	Tco_000607
P	Tco_000608
S	Tco_000609
S	Tco_000610
Z	Tco_000611
S	Tco_000612
L	Tco_000613
S	Tco_000614
L	Tco_000617
S	Tco_000618
G	Tco_000621
CO	Tco_000622
O	Tco_000624
S	Tco_000625
S	Tco_000626
C	Tco_000627
A	Tco_000628
F	Tco_000631
C	Tco_000632
S	Tco_000633
MPT	Tco_000634
Q	Tco_000636
H	Tco_000637
I	Tco_000638
I	Tco_000639
I	Tco_000640
I	Tco_000642
I	Tco_000643
I	Tco_000644
I	Tco_000645
I	Tco_000647
I	Tco_000648
I	Tco_000652
I	Tco_000653
IQ	Tco_000655
I	Tco_000658
I	Tco_000659
I	Tco_000660
IQ	Tco_000661
I	Tco_000662
I	Tco_000663
O	Tco_000664
O	Tco_000665
S	Tco_000670
Z	Tco_000672
G	Tco_000673
J	Tco_000676
O	Tco_000690
S	Tco_000692
BK	Tco_000693
S	Tco_000694
S	Tco_000696
K	Tco_000702
P	Tco_000703
C	Tco_000705
O	Tco_000712
D	Tco_000714
A	Tco_000715
S	Tco_000719
U	Tco_000721
S	Tco_000722
PT	Tco_000723
S	Tco_000733
S	Tco_000734
S	Tco_000736
S	Tco_000737
K	Tco_000745
O	Tco_000746
K	Tco_000747
T	Tco_000748
S	Tco_000749
K	Tco_000750
I	Tco_000752
K	Tco_000753
G	Tco_000754
O	Tco_000756
O	Tco_000757
T	Tco_000759
G	Tco_000767
L	Tco_000768
D	Tco_000769
J	Tco_000779
K	Tco_000784
A	Tco_000795
PT	Tco_000802
L	Tco_000804
O	Tco_000808
S	Tco_000809
K	Tco_000812
P	Tco_000813
P	Tco_000814
P	Tco_000815
P	Tco_000816
P	Tco_000817
P	Tco_000819
P	Tco_000820
L	Tco_000823
T	Tco_000825
I	Tco_000827
T	Tco_000828
J	Tco_000831
S	Tco_000833
S	Tco_000836
T	Tco_000838
S	Tco_000840
L	Tco_000842
I	Tco_000850
T	Tco_000858
O	Tco_000859
J	Tco_000860
A	Tco_000861
J	Tco_000862
C	Tco_000863
G	Tco_000864
A	Tco_000865
C	Tco_000866
K	Tco_000867
K	Tco_000868
O	Tco_000869
TV	Tco_000870
K	Tco_000871
K	Tco_000872
Z	Tco_000873
T	Tco_000875
K	Tco_000876
S	Tco_000877
TV	Tco_000878
K	Tco_000886
G	Tco_000888
U	Tco_000889
J	Tco_000890
S	Tco_000891
U	Tco_000892
O	Tco_000893
K	Tco_000895
U	Tco_000897
K	Tco_000898
A	Tco_000899
BD	Tco_000901
Z	Tco_000903
S	Tco_000904
D	Tco_000905
J	Tco_000906
T	Tco_000907
O	Tco_000908
K	Tco_000910
S	Tco_000911
J	Tco_000912
S	Tco_000913
A	Tco_000914
JO	Tco_000915
S	Tco_000917
S	Tco_000918
B	Tco_000919
U	Tco_000920
EH	Tco_000921
F	Tco_000922
F	Tco_000926
O	Tco_000928
C	Tco_000931
G	Tco_000932
A	Tco_000933
S	Tco_000934
L	Tco_000935
J	Tco_000936
T	Tco_000937
H	Tco_000938
G	Tco_000938
J	Tco_000939
S	Tco_000939
S	Tco_000940
TU	Tco_000941
S	Tco_000942
S	Tco_000943
K	Tco_000944
S	Tco_000945
T	Tco_000946
U	Tco_000947
EG	Tco_000948
S	Tco_000949
A	Tco_000950
KLO	Tco_000953
S	Tco_000957
Q	Tco_000958
EPT	Tco_000962
P	Tco_000963
P	Tco_000964
T	Tco_000965
Q	Tco_000966
T	Tco_000967
J	Tco_000969
U	Tco_000970
O	Tco_000971
O	Tco_000972
O	Tco_000973
K	Tco_000974
C	Tco_000975
T	Tco_000976
T	Tco_000977
H	Tco_000978
H	Tco_000979
P	Tco_000980
K	Tco_000981
S	Tco_000982
K	Tco_000984
S	Tco_000986
S	Tco_000988
S	Tco_000990
O	Tco_000991
B	Tco_000992
G	Tco_000993
G	Tco_000995
K	Tco_000996
C	Tco_000997
O	Tco_000998
W	Tco_001000
O	Tco_001001
Z	Tco_001002
W	Tco_001004
S	Tco_001005
S	Tco_001006
S	Tco_001007
T	Tco_001008
T	Tco_001010
J	Tco_001013
H	Tco_001014
U	Tco_001016
W	Tco_001017
U	Tco_001020
T	Tco_001021
J	Tco_001022
K	Tco_001023
K	Tco_001024
L	Tco_001030
O	Tco_001032
A	Tco_001034
T	Tco_001035
S	Tco_001036
S	Tco_001037
O	Tco_001038
S	Tco_001039
K	Tco_001040
ADK	Tco_001041
A	Tco_001043
S	Tco_001044
S	Tco_001045
S	Tco_001046
S	Tco_001047
S	Tco_001048
S	Tco_001049
K	Tco_001050
S	Tco_001051
T	Tco_001052
S	Tco_001053
U	Tco_001054
B	Tco_001055
Z	Tco_001056
S	Tco_001058
L	Tco_001060
O	Tco_001061
O	Tco_001062
O	Tco_001064
S	Tco_001065
BK	Tco_001066
S	Tco_001067
C	Tco_001068
J	Tco_001069
I	Tco_001070
J	Tco_001071
T	Tco_001072
S	Tco_001073
F	Tco_001074
O	Tco_001075
J	Tco_001076
G	Tco_001077
O	Tco_001078
U	Tco_001079
T	Tco_001080
K	Tco_001081
J	Tco_001082
S	Tco_001083
TU	Tco_001085
O	Tco_001086
S	Tco_001087
M	Tco_001088
H	Tco_001091
Q	Tco_001095
Q	Tco_001096
A	Tco_001097
S	Tco_001098
H	Tco_001099
S	Tco_001101
F	Tco_001102
T	Tco_001103
S	Tco_001104
E	Tco_001105
A	Tco_001106
C	Tco_001107
T	Tco_001108
S	Tco_001109
B	Tco_001110
AO	Tco_001111
O	Tco_001112
P	Tco_001113
S	Tco_001116
K	Tco_001117
K	Tco_001118
U	Tco_001119
S	Tco_001120
S	Tco_001121
E	Tco_001122
S	Tco_001123
Z	Tco_001124
C	Tco_001125
T	Tco_001126
K	Tco_001127
C	Tco_001128
K	Tco_001129
T	Tco_001130
T	Tco_001131
DZ	Tco_001132
S	Tco_001133
S	Tco_001134
S	Tco_001137
S	Tco_001138
S	Tco_001139
J	Tco_001140
UY	Tco_001141
A	Tco_001142
Q	Tco_001143
S	Tco_001144
S	Tco_001148
A	Tco_001150
S	Tco_001151
S	Tco_001152
S	Tco_001153
S	Tco_001154
S	Tco_001155
O	Tco_001156
O	Tco_001157
H	Tco_001158
H	Tco_001159
K	Tco_001160
C	Tco_001162
Z	Tco_001163
J	Tco_001164
U	Tco_001166
Z	Tco_001167
S	Tco_001168
T	Tco_001169
I	Tco_001170
S	Tco_001171
O	Tco_001172
U	Tco_001173
K	Tco_001174
K	Tco_001179
U	Tco_001181
Z	Tco_001182
A	Tco_001184
P	Tco_001185
S	Tco_001186
TZ	Tco_001190
W	Tco_001191
W	Tco_001192
Z	Tco_001193
Z	Tco_001195
S	Tco_001197
C	Tco_001198
S	Tco_001199
BK	Tco_001200
I	Tco_001201
TW	Tco_001202
Z	Tco_001203
S	Tco_001206
S	Tco_001207
E	Tco_001208
S	Tco_001211
S	Tco_001212
S	Tco_001213
S	Tco_001214
S	Tco_001218
S	Tco_001220
PT	Tco_001221
S	Tco_001231
U	Tco_001236
S	Tco_001238
S	Tco_001239
S	Tco_001240
S	Tco_001241
S	Tco_001242
S	Tco_001243
S	Tco_001244
W	Tco_001245
S	Tco_001249
S	Tco_001251
S	Tco_001253
K	Tco_001254
S	Tco_001255
S	Tco_001259
H	Tco_001260
T	Tco_001264
T	Tco_001265
O	Tco_001266
S	Tco_001267
S	Tco_001271
S	Tco_001272
T	Tco_001273
AD	Tco_001274
T	Tco_001275
S	Tco_001276
S	Tco_001282
J	Tco_001283
PT	Tco_001284
J	Tco_001285
G	Tco_001286
J	Tco_001288
G	Tco_001289
E	Tco_001290
E	Tco_001292
S	Tco_001294
W	Tco_001295
S	Tco_001306
S	Tco_001308
O	Tco_001309
K	Tco_001310
O	Tco_001315
J	Tco_001316
Q	Tco_001319
U	Tco_001320
V	Tco_001321
T	Tco_001323
F	Tco_001324
Z	Tco_001325
J	Tco_001327
K	Tco_001328
J	Tco_001330
J	Tco_001331
Y	Tco_001333
S	Tco_001334
S	Tco_001335
S	Tco_001336
D	Tco_001337
S	Tco_001338
S	Tco_001339
S	Tco_001340
S	Tco_001341
T	Tco_001342
G	Tco_001343
K	Tco_001344
S	Tco_001345
U	Tco_001346
IJT	Tco_001347
IJT	Tco_001348
IJT	Tco_001349
IJT	Tco_001350
IJT	Tco_001351
B	Tco_001352
U	Tco_001353
T	Tco_001354
T	Tco_001355
S	Tco_001357
T	Tco_001358
S	Tco_001359
F	Tco_001360
S	Tco_001361
C	Tco_001362
J	Tco_001363
O	Tco_001365
T	Tco_001366
K	Tco_001367
S	Tco_001369
T	Tco_001371
T	Tco_001372
T	Tco_001373
EH	Tco_001374
T	Tco_001375
Q	Tco_001376
Q	Tco_001377
G	Tco_001380
P	Tco_001381
O	Tco_001383
H	Tco_001384
G	Tco_001385
G	Tco_001386
K	Tco_001388
S	Tco_001389
U	Tco_001390
S	Tco_001391
Y	Tco_001393
T	Tco_001394
U	Tco_001396
T	Tco_001397
S	Tco_001398
O	Tco_001399
Z	Tco_001400
S	Tco_001401
G	Tco_001402
L	Tco_001410
P	Tco_001413
G	Tco_001418
J	Tco_001419
Z	Tco_001420
U	Tco_001421
S	Tco_001422
S	Tco_001423
S	Tco_001424
T	Tco_001427
T	Tco_001428
T	Tco_001430
T	Tco_001432
T	Tco_001433
U	Tco_001434
S	Tco_001435
S	Tco_001437
T	Tco_001438
O	Tco_001439
H	Tco_001440
T	Tco_001441
G	Tco_001442
I	Tco_001443
G	Tco_001444
G	Tco_001445
Q	Tco_001446
T	Tco_001447
O	Tco_001448
S	Tco_001449
S	Tco_001450
C	Tco_001451
S	Tco_001452
KL	Tco_001453
G	Tco_001454
O	Tco_001455
O	Tco_001456
O	Tco_001457
O	Tco_001458
O	Tco_001459
O	Tco_001461
O	Tco_001462
L	Tco_001464
L	Tco_001466
O	Tco_001467
PQ	Tco_001468
A	Tco_001469
I	Tco_001470
U	Tco_001471
Q	Tco_001472
T	Tco_001476
Q	Tco_001482
E	Tco_001483
S	Tco_001484
T	Tco_001485
S	Tco_001486
T	Tco_001487
Q	Tco_001488
S	Tco_001489
U	Tco_001490
D	Tco_001491
O	Tco_001492
DZ	Tco_001493
S	Tco_001494
T	Tco_001495
K	Tco_001495
S	Tco_001496
M	Tco_001497
K	Tco_001498
S	Tco_001499
K	Tco_001500
A	Tco_001501
A	Tco_001505
U	Tco_001506
T	Tco_001507
E	Tco_001508
E	Tco_001509
J	Tco_001510
A	Tco_001512
A	Tco_001513
S	Tco_001514
T	Tco_001515
J	Tco_001516
S	Tco_001517
O	Tco_001518
O	Tco_001519
O	Tco_001520
O	Tco_001521
S	Tco_001522
IJT	Tco_001523
T	Tco_001524
DZ	Tco_001525
O	Tco_001526
Q	Tco_001527
S	Tco_001528
Z	Tco_001532
S	Tco_001533
O	Tco_001535
L	Tco_001537
S	Tco_001539
S	Tco_001550
A	Tco_001551
C	Tco_001552
S	Tco_001555
S	Tco_001556
S	Tco_001558
AT	Tco_001562
O	Tco_001563
O	Tco_001564
G	Tco_001565
S	Tco_001566
S	Tco_001567
O	Tco_001569
L	Tco_001570
U	Tco_001571
U	Tco_001574
U	Tco_001575
C	Tco_001577
F	Tco_001578
S	Tco_001579
KL	Tco_001580
J	Tco_001581
Z	Tco_001582
CK	Tco_001583
O	Tco_001584
C	Tco_001585
S	Tco_001586
U	Tco_001587
UZ	Tco_001587
L	Tco_001588
O	Tco_001589
J	Tco_001590
C	Tco_001591
C	Tco_001592
O	Tco_001593
S	Tco_001594
L	Tco_001595
U	Tco_001597
O	Tco_001598
IQ	Tco_001599
IQ	Tco_001600
U	Tco_001601
S	Tco_001602
T	Tco_001603
U	Tco_001604
U	Tco_001605
J	Tco_001607
T	Tco_001608
E	Tco_001609
Z	Tco_001611
Z	Tco_001612
O	Tco_001613
U	Tco_001614
Z	Tco_001615
S	Tco_001616
J	Tco_001617
M	Tco_001625
I	Tco_001627
A	Tco_001628
O	Tco_001631
O	Tco_001632
O	Tco_001633
U	Tco_001634
A	Tco_001635
O	Tco_001636
T	Tco_001638
K	Tco_001639
S	Tco_001640
S	Tco_001641
I	Tco_001642
Q	Tco_001643
S	Tco_001644
Z	Tco_001646
A	Tco_001647
S	Tco_001648
Q	Tco_001649
Q	Tco_001650
Q	Tco_001651
Q	Tco_001652
DUZ	Tco_001653
Q	Tco_001654
S	Tco_001655
S	Tco_001658
S	Tco_001659
S	Tco_001660
C	Tco_001661
T	Tco_001663
T	Tco_001664
T	Tco_001665
PT	Tco_001666
J	Tco_001668
F	Tco_001669
U	Tco_001670
U	Tco_001671
O	Tco_001672
KLO	Tco_001674
S	Tco_001675
Q	Tco_001681
S	Tco_001683
S	Tco_001684
S	Tco_001685
S	Tco_001686
S	Tco_001687
P	Tco_001689
T	Tco_001690
T	Tco_001692
S	Tco_001698
U	Tco_001699
Z	Tco_001700
B	Tco_001701
K	Tco_001702
S	Tco_001703
S	Tco_001704
A	Tco_001705
S	Tco_001706
A	Tco_001707
V	Tco_001710
S	Tco_001711
CH	Tco_001712
S	Tco_001713
S	Tco_001714
O	Tco_001715
S	Tco_001718
T	Tco_001721
S	Tco_001722
S	Tco_001723
S	Tco_001735
T	Tco_001736
T	Tco_001737
T	Tco_001738
O	Tco_001739
A	Tco_001740
A	Tco_001741
K	Tco_001742
I	Tco_001743
K	Tco_001744
DL	Tco_001745
S	Tco_001746
S	Tco_001748
G	Tco_001749
G	Tco_001750
G	Tco_001751
G	Tco_001752
G	Tco_001753
T	Tco_001754
T	Tco_001755
S	Tco_001756
I	Tco_001757
G	Tco_001758
S	Tco_001759
P	Tco_001760
P	Tco_001761
L	Tco_001762
S	Tco_001763
J	Tco_001768
S	Tco_001771
S	Tco_001773
KU	Tco_001774
P	Tco_001775
T	Tco_001779
K	Tco_001782
S	Tco_001783
Q	Tco_001788
S	Tco_001789
H	Tco_001790
K	Tco_001791
P	Tco_001792
I	Tco_001793
I	Tco_001794
I	Tco_001795
B	Tco_001796
T	Tco_001799
UY	Tco_001800
T	Tco_001801
G	Tco_001803
K	Tco_001805
P	Tco_001809
S	Tco_001811
S	Tco_001812
I	Tco_001814
O	Tco_001816
A	Tco_001817
A	Tco_001819
S	Tco_001820
P	Tco_001821
P	Tco_001822
P	Tco_001823
P	Tco_001824
P	Tco_001825
S	Tco_001826
G	Tco_001828
T	Tco_001829
K	Tco_001830
O	Tco_001831
F	Tco_001832
IKT	Tco_001836
DZ	Tco_001838
L	Tco_001842
PT	Tco_001843
PT	Tco_001849
PT	Tco_001857
KLO	Tco_001858
G	Tco_001860
S	Tco_001861
O	Tco_001863
G	Tco_001864
G	Tco_001866
TZ	Tco_001867
TZ	Tco_001868
S	Tco_001871
O	Tco_001872
S	Tco_001873
T	Tco_001874
G	Tco_001875
G	Tco_001876
G	Tco_001877
G	Tco_001878
L	Tco_001879
S	Tco_001880
S	Tco_001881
K	Tco_001882
S	Tco_001883
J	Tco_001884
P	Tco_001885
T	Tco_001886
J	Tco_001887
S	Tco_001888
G	Tco_001889
T	Tco_001890
T	Tco_001891
S	Tco_001891
S	Tco_001892
S	Tco_001894
S	Tco_001895
S	Tco_001896
S	Tco_001897
S	Tco_001903
S	Tco_001904
I	Tco_001905
O	Tco_001908
U	Tco_001909
U	Tco_001910
BDLT	Tco_001911
Z	Tco_001912
K	Tco_001913
E	Tco_001914
J	Tco_001915
S	Tco_001916
S	Tco_001918
I	Tco_001919
O	Tco_001922
K	Tco_001923
K	Tco_001924
M	Tco_001926
T	Tco_001928
T	Tco_001930
T	Tco_001931
W	Tco_001932
H	Tco_001935
O	Tco_001936
S	Tco_001938
AD	Tco_001939
T	Tco_001940
T	Tco_001941
T	Tco_001942
S	Tco_001945
S	Tco_001946
S	Tco_001947
T	Tco_001948
S	Tco_001949
S	Tco_001950
U	Tco_001951
O	Tco_001952
B	Tco_001955
O	Tco_001956
VW	Tco_001957
O	Tco_001958
S	Tco_001959
T	Tco_001960
J	Tco_001962
J	Tco_001963
S	Tco_001964
K	Tco_001979
C	Tco_001980
S	Tco_001983
K	Tco_001984
O	Tco_001985
L	Tco_001986
G	Tco_001987
G	Tco_001988
G	Tco_001989
G	Tco_001990
O	Tco_001991
T	Tco_001992
Z	Tco_001997
Z	Tco_001998
I	Tco_001999
A	Tco_002000
U	Tco_002001
S	Tco_002002
S	Tco_002004
U	Tco_002005
A	Tco_002006
T	Tco_002007
S	Tco_002008
Q	Tco_002009
Q	Tco_002010
Q	Tco_002011
Q	Tco_002012
Q	Tco_002013
Q	Tco_002014
Q	Tco_002017
Q	Tco_002018
Q	Tco_002019
Q	Tco_002020
Q	Tco_002021
Q	Tco_002022
Q	Tco_002023
Q	Tco_002025
Q	Tco_002027
Q	Tco_002028
Q	Tco_002029
Q	Tco_002030
Q	Tco_002032
Q	Tco_002033
Q	Tco_002034
O	Tco_002039
T	Tco_002040
J	Tco_002041
A	Tco_002042
C	Tco_002043
O	Tco_002044
C	Tco_002045
K	Tco_002049
J	Tco_002050
T	Tco_002051
T	Tco_002052
T	Tco_002053
J	Tco_002054
O	Tco_002055
I	Tco_002056
VW	Tco_002057
S	Tco_002058
U	Tco_002059
K	Tco_002060
L	Tco_002061
OT	Tco_002062
S	Tco_002064
S	Tco_002068
O	Tco_002069
S	Tco_002070
BT	Tco_002071
T	Tco_002073
T	Tco_002074
T	Tco_002076
T	Tco_002077
A	Tco_002078
S	Tco_002079
D	Tco_002082
Z	Tco_002083
J	Tco_002090
U	Tco_002091
A	Tco_002092
A	Tco_002093
T	Tco_002094
T	Tco_002095
S	Tco_002096
O	Tco_002097
T	Tco_002098
S	Tco_002099
K	Tco_002101
T	Tco_002102
U	Tco_002104
G	Tco_002105
G	Tco_002106
G	Tco_002107
T	Tco_002108
G	Tco_002109
G	Tco_002110
G	Tco_002111
G	Tco_002112
M	Tco_002113
S	Tco_002114
S	Tco_002116
K	Tco_002117
S	Tco_002118
P	Tco_002119
S	Tco_002120
D	Tco_002121
J	Tco_002122
J	Tco_002123
I	Tco_002124
S	Tco_002125
Z	Tco_002126
TZ	Tco_002128
E	Tco_002129
T	Tco_002130
M	Tco_002131
S	Tco_002132
D	Tco_002133
S	Tco_002134
A	Tco_002136
S	Tco_002137
U	Tco_002138
Z	Tco_002140
A	Tco_002141
K	Tco_002143
J	Tco_002144
A	Tco_002145
S	Tco_002146
Z	Tco_002148
E	Tco_002149
S	Tco_002151
S	Tco_002152
S	Tco_002153
S	Tco_002155
G	Tco_002157
S	Tco_002159
S	Tco_002160
G	Tco_002161
G	Tco_002162
G	Tco_002163
G	Tco_002164
G	Tco_002165
G	Tco_002166
G	Tco_002169
G	Tco_002170
G	Tco_002171
T	Tco_002173
T	Tco_002174
J	Tco_002176
T	Tco_002178
S	Tco_002180
Q	Tco_002181
Q	Tco_002183
F	Tco_002184
H	Tco_002185
J	Tco_002186
UZ	Tco_002187
S	Tco_002189
S	Tco_002190
S	Tco_002191
T	Tco_002193
T	Tco_002194
S	Tco_002195
T	Tco_002196
S	Tco_002197
T	Tco_002198
T	Tco_002199
T	Tco_002200
T	Tco_002201
S	Tco_002202
S	Tco_002203
O	Tco_002204
S	Tco_002205
T	Tco_002207
S	Tco_002212
S	Tco_002214
S	Tco_002217
C	Tco_002218
K	Tco_002219
I	Tco_002220
V	Tco_002222
V	Tco_002223
P	Tco_002225
T	Tco_002226
J	Tco_002228
T	Tco_002229
FQ	Tco_002231
P	Tco_002232
U	Tco_002233
T	Tco_002234
K	Tco_002235
E	Tco_002236
S	Tco_002237
T	Tco_002238
S	Tco_002239
S	Tco_002240
S	Tco_002242
V	Tco_002243
F	Tco_002245
S	Tco_002246
T	Tco_002250
K	Tco_002251
E	Tco_002252
S	Tco_002253
O	Tco_002255
K	Tco_002256
TW	Tco_002257
H	Tco_002258
S	Tco_002260
O	Tco_002261
OT	Tco_002262
OT	Tco_002263
T	Tco_002266
T	Tco_002268
S	Tco_002270
O	Tco_002271
S	Tco_002272
A	Tco_002273
T	Tco_002277
U	Tco_002283
L	Tco_002284
U	Tco_002286
O	Tco_002287
S	Tco_002288
S	Tco_002289
T	Tco_002290
M	Tco_002291
T	Tco_002292
L	Tco_002293
S	Tco_002294
T	Tco_002297
T	Tco_002298
S	Tco_002299
K	Tco_002300
OT	Tco_002301
OT	Tco_002302
L	Tco_002303
O	Tco_002304
O	Tco_002305
C	Tco_002306
O	Tco_002307
U	Tco_002308
I	Tco_002309
Z	Tco_002310
A	Tco_002311
K	Tco_002312
S	Tco_002313
TU	Tco_002314
TZ	Tco_002315
DT	Tco_002316
S	Tco_002317
OP	Tco_002318
K	Tco_002319
L	Tco_002320
O	Tco_002321
Q	Tco_002322
S	Tco_002323
T	Tco_002324
O	Tco_002327
S	Tco_002329
C	Tco_002330
S	Tco_002331
DK	Tco_002332
T	Tco_002334
J	Tco_002335
S	Tco_002336
I	Tco_002337
S	Tco_002338
S	Tco_002342
S	Tco_002346
TU	Tco_002348
O	Tco_002349
TU	Tco_002354
T	Tco_002361
S	Tco_002365
G	Tco_002382
S	Tco_002384
Z	Tco_002385
P	Tco_002386
O	Tco_002392
S	Tco_002393
S	Tco_002398
J	Tco_002401
E	Tco_002403
L	Tco_002407
L	Tco_002408
T	Tco_002409
W	Tco_002415
O	Tco_002420
DZ	Tco_002421
T	Tco_002422
S	Tco_002423
O	Tco_002426
K	Tco_002427
G	Tco_002428
L	Tco_002429
E	Tco_002431
T	Tco_002432
T	Tco_002434
I	Tco_002435
S	Tco_002436
Q	Tco_002437
O	Tco_002439
Q	Tco_002440
Q	Tco_002441
Q	Tco_002443
U	Tco_002445
T	Tco_002447
T	Tco_002448
T	Tco_002449
L	Tco_002450
G	Tco_002450
O	Tco_002451
H	Tco_002453
T	Tco_002458
PT	Tco_002459
P	Tco_002460
P	Tco_002461
AK	Tco_002462
S	Tco_002463
O	Tco_002464
O	Tco_002467
O	Tco_002470
PT	Tco_002473
PT	Tco_002474
PT	Tco_002475
T	Tco_002476
A	Tco_002480
I	Tco_002481
T	Tco_002482
U	Tco_002483
O	Tco_002484
