Genes	Preferred_name	Description
Tco_000243		Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu- tRNA(Gln)
Tco_000245		Carboxylesterase family
Tco_000246		It is involved in the biological process described with protein phosphorylation
Tco_000249		Cadherin repeats.
Tco_000252		calcium ion binding. It is involved in the biological process described with homophilic cell adhesion via plasma membrane adhesion molecules
Tco_000253		Gemini of Cajal bodies-associated protein 8
Tco_000254		Type III restriction enzyme, res subunit
Tco_000255	Taf1	binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_000257		Putative mitochondrial precursor protein
Tco_000260		Cadherin repeats.
Tco_000261	FAT1	Laminin G domain
Tco_000262		calcium ion binding. It is involved in the biological process described with homophilic cell adhesion via plasma membrane adhesion molecules
Tco_000263		It is involved in the biological process described with transmembrane transport
Tco_000264		Low-density lipoprotein receptor domain class A
Tco_000266		ATP binding. It is involved in the biological process described with protein phosphorylation
Tco_000267	snRNP70K	U1 small nuclear ribonucleoprotein 70
Tco_000268		MADF
Tco_000274		ISXO2-like transposase domain
Tco_000277		Voltage-gated potassium channel activity. It is involved in the biological process described with
Tco_000281	ROPN1L	sperm capacitation
Tco_000282	HORMAD1	regulation of homologous chromosome segregation
Tco_000287		Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family
Tco_000289	TP53I11	Tumour protein p53-inducible protein 11
Tco_000294		Belongs to the nucleosome assembly protein (NAP) family
Tco_000295		phosphatase activity. It is involved in the biological process described with metabolic process
Tco_000296		Alpha/beta hydrolase of unknown function (DUF1057)
Tco_000297	CNDP2	alanylglutamate dipeptidase activity
Tco_000298	Ndufa9	NmrA-like family
Tco_000301	SCUBE1	Signal peptide, CUB and EGF-like domain-containing protein 1
Tco_000301		Calcium ion binding
Tco_000307		Domain present in PSD-95, Dlg, and ZO-1/2.
Tco_000308	Edem1	Belongs to the glycosyl hydrolase 47 family
Tco_000309		40s ribosomal protein
Tco_000310	SIRT3	Sirtuin (silent mating type information regulation 2 homolog) 3 (S. cerevisiae)
Tco_000312		SH2 domain binding
Tco_000313		Elongation of very long chain fatty acids protein
Tco_000314		It is involved in the biological process described with cell-matrix adhesion
Tco_000317		It is involved in the biological process described with cell-matrix adhesion
Tco_000319		diacylglycerol cholinephosphotransferase activity
Tco_000320	PHRF1	PHD and RING finger domain-containing protein 1
Tco_000321	egg	Histone-lysine N-methyltransferase
Tco_000322	egg	Histone-lysine N-methyltransferase
Tco_000323	egg	Histone-lysine N-methyltransferase
Tco_000325		nucleic acid binding
Tco_000326	p	Has a role in the biogenesis of eye pigment granules. Eye pigment granules are specialized forms of late endosomes or lysosomes. Biogenesis of pigment granules in the eye requires molecular components required for protein delivery to lysosomes
Tco_000327	FUZ	Fuzzy planar cell polarity protein
Tco_000330		DNA- binding
Tco_000331	APIP	Methylthioribulose-1-phosphate dehydratase
Tco_000332	Tfb1	It is involved in the biological process described with
Tco_000333		Aminomethyltransferase folate-binding domain
Tco_000334	RhoGEF4	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
Tco_000335		sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_000337	TCFL5	helix loop helix domain
Tco_000338	ric8a	Guanine nucleotide exchange factor (GEF), which can activate some, but not all, G-alpha proteins independently of G- protein coupled receptors. Acts by exchanging bound GDP for free GTP. Plays a key role in asymmetric spindle positioning, a step for asymmetric cell division that generates cell diversity during development by activating G(i) alpha protein independently of G- protein coupled receptors. In addition to its GEF activity, it plays an essential role in cortical subcellular localization of heterotrimeric G proteins, suggesting it acts as a facilitator of G-alpha function through control of its membrane targeting and or assembling of associated components rather than a GEF
Tco_000339	Sbf	Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
Tco_000340		It is involved in the biological process described with cell-matrix adhesion
Tco_000341		positive regulation of acetylcholine metabolic process
Tco_000342		Cation efflux family
Tco_000344	ZC3H11A	poly(A)+ mRNA export from nucleus
Tco_000345	THYN1	EVE domain
Tco_000361	Kr	Metal ion binding
Tco_000365		Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
Tco_000366		2-oxoacid dehydrogenases acyltransferase (catalytic domain)
Tco_000367	KRR1	KRR1, small subunit
Tco_000368		Apoptosis inhibitor
Tco_000369	UMPS	orotate phosphoribosyltransferase activity
Tco_000376	Dh31	Diuretic hormone
Tco_000381	SREBP	protein dimerization activity
Tco_000382		Calcium ion binding
Tco_000383	FGF16	Fibroblast growth factor 16
Tco_000384		Acidic and basic fibroblast growth factor family.
Tco_000385	acj6	DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_000387	swm	binding. It is involved in the biological process described with mRNA processing
Tco_000388	DPH3	Diphthamide biosynthesis 3
Tco_000389		Has a role in transcriptional regulation. Acts in parallel with the Ras MAPK and the PI3K PKB pathways in the control of cell identity and cellular growth. Essential for regulation of the cytoskeleton and cell growth but not for cell proliferation or growth rate. Required specifically for the microtubule-based basal transport of lipid droplets. Plays a partially redundant function downstream of Raf in cell fate specification in the developing eye. Pair-rule protein that regulates embryonic cellularization, gastrulation and segmentation
Tco_000391		NAD binding domain of 6-phosphogluconate dehydrogenase
Tco_000393		Binds to all microtubule populations
Tco_000396		chromatin binding
Tco_000398		Ergosterol biosynthesis ERG4/ERG24 family
Tco_000399		Ergosterol biosynthesis ERG4/ERG24 family
Tco_000400		Ergosterol biosynthesis ERG4/ERG24 family
Tco_000401	ATP7	binding. It is involved in the biological process described with metal ion transport
Tco_000402	ALG11	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
Tco_000403	COQ2	4-hydroxybenzoate polyprenyltransferase, mitochondrial
Tco_000404		methyltransferase-like protein 15 homolog
Tco_000405	Taf7	chromosome segregation
Tco_000406	fry	Cell morphogenesis N-terminal
Tco_000407	Clk	Circadian locomoter output cycles kaput protein
Tco_000408	HPX6	peroxidase activity
Tco_000409	PEX3	Peroxisomal biogenesis factor 3
Tco_000410		Divergent CRAL/TRIO domain
Tco_000411	rno	Zinc ion binding
Tco_000412	GLIS2	zinc finger
Tco_000413		Pam16
Tco_000414		MFS_1 like family
Tco_000416		LacY proton/sugar symporter
Tco_000417		MFS_1 like family
Tco_000418		MFS_1 like family
Tco_000419		Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
Tco_000420	GABA-B-R3	G-protein coupled GABA receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_000421		Actin binding. It is involved in the biological process described with cellular component organization
Tco_000422		Methyltransferase domain
Tco_000423		Methyltransferase domain
Tco_000424		Nucleoside H+ symporter
Tco_000427		Methyltransferase domain
Tco_000428		Methyltransferase domain
Tco_000429		It is involved in the biological process described with transmembrane transport
Tco_000432		Methyltransferase domain
Tco_000433		Methyltransferase domain
Tco_000434		Methyltransferase domain
Tco_000435		Ubiquitin-2 like Rad60 SUMO-like
Tco_000437		Ubiquitin-2 like Rad60 SUMO-like
Tco_000438	PAN3	positive regulation of cytoplasmic mRNA processing body assembly
Tco_000439	rad50	ATPase activity. It is involved in the biological process described with telomere maintenance
Tco_000439	RAD50	RAD50 homolog (S. cerevisiae)
Tco_000440		Ovarian carcinoma immunoreactive antigen (OCIA)
Tco_000441	RpS3A	40S ribosomal protein S3a
Tco_000442		Transmembrane Fragile-X-F protein
Tco_000447		NHL repeat
Tco_000504		NHL repeat
Tco_000505		NHL repeat
Tco_000507	CWH43	GPI anchor biosynthetic process
Tco_000510		It is involved in the biological process described with signal transduction
Tco_000511		GTPase-activator protein for Rho-like GTPases
Tco_000512	ALG5	Asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase)
Tco_000513	TFAP4	Helix-loop-helix DNA-binding domain
Tco_000525	ft	calcium ion binding. It is involved in the biological process described with homophilic cell adhesion via plasma membrane adhesion molecules
Tco_000526	ft	calcium ion binding. It is involved in the biological process described with homophilic cell adhesion via plasma membrane adhesion molecules
Tco_000527	ft	calcium ion binding. It is involved in the biological process described with homophilic cell adhesion via plasma membrane adhesion molecules
Tco_000528		Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
Tco_000529		Rab GDP-dissociation inhibitor activity
Tco_000530		MADF
Tco_000531		Rab GTPase activator activity. It is involved in the biological process described with
Tco_000532	PIBF1	Progesterone immunomodulatory binding factor 1
Tco_000534		amino acid transporter
Tco_000535		amino acid transporter
Tco_000536		amino acid transporter
Tco_000538		amino acid transporter
Tco_000540		Belongs to the small heat shock protein (HSP20) family
Tco_000541		Hsp20/alpha crystallin family
Tco_000545	HERC2	metal ion binding. It is involved in the biological process described with protein ubiquitination
Tco_000546	frem3	Extracellular matrix protein
Tco_000547	nwk	Fes/CIP4, and EFC/F-BAR homology domain
Tco_000548	CFAP97	UPF0501 protein KIAA1430 homolog isoform X1
Tco_000549		Ufm1-specific protease
Tco_000550		protein modification by small protein conjugation
Tco_000551		unfolded protein binding. It is involved in the biological process described with protein folding
Tco_000552		ATP binding
Tco_000557		activity. It is involved in the biological process described with metabolic process
Tco_000558	smt3	Small ubiquitin-related modifier
Tco_000559	Sfmbt	Zinc ion binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_000560		Zinc ion binding
Tco_000561	HMMR	motility receptor
Tco_000562	HMMR	hyaluronic acid binding
Tco_000563	SH3D19	positive regulation of membrane protein ectodomain proteolysis
Tco_000563		Src homology 3 domains
Tco_000564	FAM114A2	Family with sequence similarity 114, member A2
Tco_000565		Nucleoporin FG repeated region
Tco_000566		Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
Tco_000567	dos	PH domain
Tco_000568	sol	Belongs to the peptidase C2 family
Tco_000569		Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.
Tco_000571		Belongs to the DHHC palmitoyltransferase family
Tco_000572	pix	ABC transporter
Tco_000574		Ion channel activity. It is involved in the biological process described with ion transport
Tco_000575	CNGA3	C-terminal leucine zipper domain of cyclic nucleotide-gated channels
Tco_000576		Prostaglandin reductase
Tco_000581		DNA polymerase
Tco_000582		Tetraspanin family
Tco_000583		erythroblast transformation specific domain
Tco_000584		DNA polymerase
Tco_000585		Tetraspanin family
Tco_000589		Peptidylglycine alpha-amidating monooxygenase COOH-terminal interactor protein-1
Tco_000596		Protein similar to CwfJ C-terminus 1
Tco_000597	RBM41	U12 snRNA binding
Tco_000598		Myb/SANT-like DNA-binding domain
Tco_000600	MAT2B	methionine adenosyltransferase regulator activity
Tco_000601		Promotes mitochondrial protein synthesis. May act as a fidelity factor of the translation reaction, by catalyzing a one- codon backward translocation of tRNAs on improperly translocated ribosomes. Binds to mitochondrial ribosomes in a GTP-dependent manner
Tco_000602		Translation initiation factor activity. It is involved in the biological process described with translational initiation
Tco_000603		Metal ion binding
Tco_000604	Sep-02	Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
Tco_000605		Amidohydrolase family
Tco_000606		BESS motif
Tco_000607	mRpL28	Structural constituent of ribosome
Tco_000608		Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Tco_000609		MFS_1 like family
Tco_000610	COMMD8	COMM domain
Tco_000611	FRG1	FRG1-like domain
Tco_000612		Neddylation of cullins play an essential role in the regulation of SCF-type complexes activity
Tco_000613		DUF1771
Tco_000614	ZCCHC10	zinc ion binding
Tco_000617	RfC38	DNA binding. It is involved in the biological process described with DNA replication
Tco_000618	CEP135	Centrosomal protein
Tco_000621	ALG8	dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase
Tco_000622	TXNDC9	Thioredoxin domain-containing protein 9
Tco_000624		NHL repeat
Tco_000625	SUPT7L	histone H3 acetylation
Tco_000626	CCDC169	Domain of unknown function (DUF4600)
Tco_000627	Ndufc2	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
Tco_000628		nucleic acid binding
Tco_000631	RnrL	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
Tco_000632		Belongs to the mitochondrial carrier (TC 2.A.29) family
Tco_000633		Reverse transcriptase (RNA-dependent DNA polymerase)
Tco_000634		Belongs to the transient receptor (TC 1.A.4) family
Tco_000636		Methyltransferase activity. It is involved in the biological process described with metabolic process
Tco_000637	Las	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives
Tco_000638		activity. It is involved in the biological process described with metabolic process
Tco_000639		activity. It is involved in the biological process described with metabolic process
Tco_000640		fatty acid metabolic process
Tco_000642		activity. It is involved in the biological process described with metabolic process
Tco_000643		fatty acid metabolic process
Tco_000644		fatty acid metabolic process
Tco_000645		AMP-binding enzyme C-terminal domain
Tco_000647		fatty acid metabolic process
Tco_000648		fatty acid metabolic process
Tco_000648	ACSF2	ligase activity
Tco_000652		fatty acid metabolic process
Tco_000653		AMP-binding enzyme C-terminal domain
Tco_000655	acsf	PFAM AMP-dependent synthetase and ligase
Tco_000658		activity. It is involved in the biological process described with metabolic process
Tco_000659		activity. It is involved in the biological process described with metabolic process
Tco_000660		fatty acid metabolic process
Tco_000661	acsf	AMP-binding enzyme C-terminal domain
Tco_000662		activity. It is involved in the biological process described with metabolic process
Tco_000663		Oxidoreductase activity, acting on the CH-CH group of donors. It is involved in the biological process described with lipid metabolic process
Tco_000664		OST3 / OST6 family, transporter family
Tco_000665		OST3 / OST6 family, transporter family
Tco_000670		Zinc finger MYM-type protein
Tco_000672	Scgdelta	Sarcoglycan complex subunit protein
Tco_000673		Transferase activity, transferring hexosyl groups. It is involved in the biological process described with carbohydrate metabolic process
Tco_000676		ribosomal protein, L30
Tco_000690	LONRF3	LON peptidase N-terminal domain and RING finger
Tco_000692	SQSTM1	Sequestosome 1
Tco_000692	SQSTM1	Sequestosome-1
Tco_000692	SQSTM1	protein localization to perinuclear region of cytoplasm
Tco_000693	MSL3	Male-specific lethal 3
Tco_000694		Slx4 endonuclease
Tco_000696		It is involved in the biological process described with muscle organ development
Tco_000702		sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_000703	IDS	iduronate 2-sulfatase
Tco_000705		Electron-transferring-flavoprotein dehydrogenase activity. It is involved in the biological process described with oxidation-reduction process
Tco_000712	brat	Zinc ion binding
Tco_000714	ASMTL	nucleoside-triphosphate diphosphatase activity
Tco_000715	Nxt1	Nuclear transport factor 2 (NTF2) domain
Tco_000719	COMMD5	nucleic acid-templated transcription
Tco_000721		protein kinase A binding
Tco_000722	PIR	Belongs to the pirin family
Tco_000723		Belongs to the transient receptor (TC 1.A.4) family
Tco_000733		Transferase activity, transferring acyl groups other than amino-acyl groups
Tco_000734		Transferase activity, transferring acyl groups other than amino-acyl groups
Tco_000736		transferase activity, transferring acyl groups other than amino-acyl groups
Tco_000737		Transferase activity, transferring acyl groups other than amino-acyl groups
Tco_000745		Paired Box domain
Tco_000746		Disintegrin and metalloproteinase domain-containing protein
Tco_000747	PAX6	Paired box
Tco_000748		Ankyrin repeat
Tco_000749	GPRNND2	Domain of unknown function (DUF4203)
Tco_000750	toy	sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_000752	ACOT9	acetyl-CoA hydrolase activity
Tco_000753	MED25	Mediator complex subunit 25 PTOV activation and synapsin 2
Tco_000754		Transfers the glycosyl residue from UDP-Glc to the non- reducing end of alpha-1,4-glucan
Tco_000756		HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1
Tco_000757	DNAJC24	ferrous iron binding
Tco_000759	hipk	It is involved in the biological process described with protein phosphorylation
Tco_000767		Sucrose transport protein
Tco_000768		Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand
Tco_000769		cell morphogenesis
Tco_000779		eukaryotic translation initiation factor 4 gamma
Tco_000784		Zinc-binding domain present in Lin-11, Isl-1, Mec-3.
Tco_000795	cpsf6	Cleavage and polyadenylation
Tco_000802	trp-1	store-operated calcium channel activity
Tco_000804	BRCA2	Breast cancer 2, early onset
Tco_000808	FKBP59	It is involved in the biological process described with protein folding
Tco_000809		Required for homeostatic regulation of sleep under normal conditions and after sleep deprivation. Important regulator of the Sh K( ) channel, acting as a signaling molecule that connects sleep drive to lowered membrane excitability, possibly by enhancing K( ) channel activity and thus reducing neuronal excitability
Tco_000812	POLR3C	RNA polymerase III subunit
Tco_000812	POLR3C	RNA polymerase III subunit RPC82
Tco_000813		Sugar (and other) transporter
Tco_000814		facilitative transporter for trehalose. Does not transport maltose, sucrose or lactose. Mediates the bidirectional transfer of trehalose. Responsible for the transport of trehalose synthesized in the fat body and the incorporation of trehalose into other tissues that require a carbon source, thereby regulating trehalose levels in the hemolymph
Tco_000815	SLC2A8	carbohydrate:proton symporter activity
Tco_000816	Tret1	High-capacity facilitative transporter for trehalose. Does not transport maltose, sucrose or lactose. Mediates the bidirectional transfer of trehalose. Responsible for the transport of trehalose synthesized in the fat body and the incorporation of trehalose into other tissues that require a carbon source, thereby regulating trehalose levels in the hemolymph
Tco_000817	Tret1	Low-capacity facilitative transporter for trehalose. Does not transport maltose, sucrose or lactose. Mediates the bidirectional transfer of trehalose. Responsible for the transport of trehalose synthesized in the fat body and the incorporation of trehalose into other tissues that require a carbon source, thereby regulating trehalose levels in the hemolymph
Tco_000819	SLC2A8	carbohydrate:proton symporter activity
Tco_000820	Tret1	High-capacity facilitative transporter for trehalose. Does not transport maltose, sucrose or lactose. Mediates the bidirectional transfer of trehalose. Responsible for the transport of trehalose synthesized in the fat body and the incorporation of trehalose into other tissues that require a carbon source, thereby regulating trehalose levels in the hemolymph
Tco_000823		DNA helicase activity. It is involved in the biological process described with DNA replication initiation
Tco_000825		protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Tco_000827	bmm	It is involved in the biological process described with lipid metabolic process
Tco_000828	trc	It is involved in the biological process described with protein phosphorylation
Tco_000831	Taf11	hTAFII28-like protein conserved region
Tco_000833		YhhN family
Tco_000836		YhhN family
Tco_000838	PTP-ER	Protein tyrosine phosphatase activity. It is involved in the biological process described with protein dephosphorylation
Tco_000840		Domain of unknown function (DUF4211)
Tco_000842	PMS2	somatic hypermutation of immunoglobulin genes
Tco_000850		activity. It is involved in the biological process described with metabolic process
Tco_000858		Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
Tco_000859		Belongs to the peptidase C1 family
Tco_000860	RpS3	Belongs to the universal ribosomal protein uS3 family
Tco_000861		Cleavage and polyadenylation factor subunit
Tco_000862	MRPL22	Belongs to the universal ribosomal protein uL22 family
Tco_000863		UcrQ family
Tco_000864		Phosphorylase b kinase catalyzes the phosphorylation of serine in certain substrates, including troponin I
Tco_000865	POP4	ribonuclease P RNA binding
Tco_000866	TMTC4	positive regulation of proteasomal protein catabolic process
Tco_000867		Activating signal cointegrator 1 complex subunit
Tco_000868	NFKB1	nuclear factor
Tco_000869		DnaJ molecular chaperone homology domain
Tco_000870		C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
Tco_000871	MED18	RNA polymerase II transcription cofactor activity. It is involved in the biological process described with regulation of transcription from RNA polymerase II promoter
Tco_000872	NFYA	Nuclear transcription factor Y
Tco_000873		Required for cytoplasmic pre-assembly of axonemal dyneins, thereby playing a central role in motility in cilia and flagella. Involved in pre-assembly of dynein arm complexes in the cytoplasm before intraflagellar transport loads them for the ciliary compartment
Tco_000875		GTPase activator activity. It is involved in the biological process described with regulation of small GTPase mediated signal transduction
Tco_000876	ASCC2	Activating signal cointegrator 1 complex subunit 2
Tco_000877	mio	Zinc-ribbon like family
Tco_000877	MIOS	cellular protein-containing complex localization
