KEGG	Genes
ko03040	Tco_000085
ko00230	Tco_000086
ko01100	Tco_000086
ko01110	Tco_000086
ko01130	Tco_000086
ko04320	Tco_000087
ko04145	Tco_000089
ko04151	Tco_000089
ko04510	Tco_000089
ko04512	Tco_000089
ko04962	Tco_000089
ko05132	Tco_000089
ko05145	Tco_000089
ko05146	Tco_000089
ko05165	Tco_000089
ko05200	Tco_000089
ko05222	Tco_000089
ko00230	Tco_000093
ko00250	Tco_000093
ko01100	Tco_000093
ko01110	Tco_000093
ko01130	Tco_000093
ko00230	Tco_000094
ko01100	Tco_000094
ko01110	Tco_000094
ko01130	Tco_000094
ko04015	Tco_000101
ko04024	Tco_000101
ko04144	Tco_000101
ko00280	Tco_000103
ko01100	Tco_000103
ko03018	Tco_000104
ko04020	Tco_000105
ko04611	Tco_000105
ko04391	Tco_000108
ko04810	Tco_000108
ko04391	Tco_000109
ko04810	Tco_000109
ko00563	Tco_000112
ko01100	Tco_000112
ko04391	Tco_000113
ko04810	Tco_000113
ko00510	Tco_000119
ko01100	Tco_000119
ko03018	Tco_000120
ko03010	Tco_000124
ko03010	Tco_000125
ko03018	Tco_000127
ko03410	Tco_000128
ko04140	Tco_000128
ko04217	Tco_000128
ko00230	Tco_000130
ko04022	Tco_000130
ko04740	Tco_000130
ko04925	Tco_000130
ko05032	Tco_000130
ko04144	Tco_000136
ko03050	Tco_000137
ko04142	Tco_000142
ko04142	Tco_000145
ko04142	Tco_000146
ko05034	Tco_000147
ko05203	Tco_000147
ko05322	Tco_000147
ko04142	Tco_000148
ko04080	Tco_000149
ko04926	Tco_000149
ko04110	Tco_000150
ko04111	Tco_000150
ko04113	Tco_000150
ko04114	Tco_000150
ko04120	Tco_000150
ko04914	Tco_000150
ko05166	Tco_000150
ko03018	Tco_000152
ko04144	Tco_000153
ko00970	Tco_000154
ko04120	Tco_000157
ko05165	Tco_000157
ko05203	Tco_000157
ko04013	Tco_000166
ko04152	Tco_000176
ko04919	Tco_000176
ko04931	Tco_000176
ko00561	Tco_000182
ko01100	Tco_000182
ko04013	Tco_000183
ko04360	Tco_000183
ko04514	Tco_000183
ko04013	Tco_000189
ko04013	Tco_000195
ko04080	Tco_000208
ko04723	Tco_000208
ko04726	Tco_000208
ko04727	Tco_000208
ko05032	Tco_000208
ko05033	Tco_000208
ko04080	Tco_000210
ko04723	Tco_000210
ko04726	Tco_000210
ko04727	Tco_000210
ko05032	Tco_000210
ko05033	Tco_000210
ko04080	Tco_000212
ko04723	Tco_000212
ko04726	Tco_000212
ko04727	Tco_000212
ko05032	Tco_000212
ko05033	Tco_000212
ko04080	Tco_000214
ko04723	Tco_000214
ko04726	Tco_000214
ko04727	Tco_000214
ko05032	Tco_000214
ko05033	Tco_000214
ko01524	Tco_000234
ko04115	Tco_000234
ko04210	Tco_000234
ko04214	Tco_000234
ko04215	Tco_000234
ko05010	Tco_000234
ko05012	Tco_000234
ko05014	Tco_000234
ko05016	Tco_000234
ko05134	Tco_000234
ko05152	Tco_000234
ko05161	Tco_000234
ko05200	Tco_000234
ko05222	Tco_000234
ko00300	Tco_000235
ko00310	Tco_000235
ko00380	Tco_000235
ko01100	Tco_000235
ko01130	Tco_000235
ko01210	Tco_000235
ko04110	Tco_000237
ko04111	Tco_000237
ko04113	Tco_000237
ko04114	Tco_000237
ko04914	Tco_000237
ko05166	Tco_000237
ko00330	Tco_000238
ko01100	Tco_000238
ko03010	Tco_000239
ko00100	Tco_000240
ko01100	Tco_000240
ko01130	Tco_000240
ko04013	Tco_000242
ko04380	Tco_000242
ko04660	Tco_000242
ko00970	Tco_000243
ko01100	Tco_000243
ko04514	Tco_000245
ko03320	Tco_000246
ko04360	Tco_000246
ko04510	Tco_000246
ko05100	Tco_000246
ko05213	Tco_000246
ko04391	Tco_000249
ko04392	Tco_000249
ko04391	Tco_000252
ko04392	Tco_000252
ko03013	Tco_000253
ko03022	Tco_000255
ko04721	Tco_000263
ko04723	Tco_000263
ko04724	Tco_000263
ko05033	Tco_000263
ko03040	Tco_000267
ko00270	Tco_000287
ko00280	Tco_000287
ko00290	Tco_000287
ko00770	Tco_000287
ko01100	Tco_000287
ko01110	Tco_000287
ko01130	Tco_000287
ko01210	Tco_000287
ko01230	Tco_000287
ko05034	Tco_000294
ko05165	Tco_000294
ko05203	Tco_000294
ko00630	Tco_000295
ko01100	Tco_000295
ko01110	Tco_000295
ko01130	Tco_000295
ko01200	Tco_000295
ko00330	Tco_000297
ko00340	Tco_000297
ko00410	Tco_000297
ko01100	Tco_000297
ko00190	Tco_000298
ko01100	Tco_000298
ko04714	Tco_000298
ko04723	Tco_000298
ko04932	Tco_000298
ko05010	Tco_000298
ko05012	Tco_000298
ko05016	Tco_000298
ko04141	Tco_000308
ko03010	Tco_000309
ko05230	Tco_000310
ko00062	Tco_000313
ko01110	Tco_000313
ko00440	Tco_000319
ko00564	Tco_000319
ko00565	Tco_000319
ko01100	Tco_000319
ko01110	Tco_000319
ko00310	Tco_000321
ko04550	Tco_000321
ko00310	Tco_000322
ko04550	Tco_000322
ko00310	Tco_000323
ko04550	Tco_000323
ko00270	Tco_000331
ko01100	Tco_000331
ko03022	Tco_000332
ko03420	Tco_000332
ko05203	Tco_000332
ko04062	Tco_000341
ko04666	Tco_000341
ko04978	Tco_000342
ko00010	Tco_000366
ko00020	Tco_000366
ko00620	Tco_000366
ko01100	Tco_000366
ko01110	Tco_000366
ko01120	Tco_000366
ko01130	Tco_000366
ko01200	Tco_000366
ko00240	Tco_000369
ko00983	Tco_000369
ko01100	Tco_000369
ko04152	Tco_000381
ko04910	Tco_000381
ko04931	Tco_000381
ko04932	Tco_000381
ko04010	Tco_000383
ko04014	Tco_000383
ko04015	Tco_000383
ko04151	Tco_000383
ko04810	Tco_000383
ko05200	Tco_000383
ko05218	Tco_000383
ko05224	Tco_000383
ko05226	Tco_000383
ko04010	Tco_000384
ko04014	Tco_000384
ko04015	Tco_000384
ko04151	Tco_000384
ko04390	Tco_000384
ko04810	Tco_000384
ko05200	Tco_000384
ko05218	Tco_000384
ko05224	Tco_000384
ko05226	Tco_000384
ko00510	Tco_000389
ko00513	Tco_000389
ko01100	Tco_000389
ko04141	Tco_000389
ko00280	Tco_000391
ko01100	Tco_000391
ko00100	Tco_000398
ko01100	Tco_000398
ko01110	Tco_000398
ko00100	Tco_000399
ko01100	Tco_000399
ko01110	Tco_000399
ko00100	Tco_000400
ko01100	Tco_000400
ko01110	Tco_000400
ko01524	Tco_000401
ko04016	Tco_000401
ko00510	Tco_000402
ko00513	Tco_000402
ko01100	Tco_000402
ko00130	Tco_000403
ko01100	Tco_000403
ko01110	Tco_000403
ko03022	Tco_000405
ko04710	Tco_000407
ko04711	Tco_000407
ko04728	Tco_000407
ko05168	Tco_000407
ko00040	Tco_000408
ko00053	Tco_000408
ko00140	Tco_000408
ko00565	Tco_000408
ko00600	Tco_000408
ko00830	Tco_000408
ko00860	Tco_000408
ko00980	Tco_000408
ko00982	Tco_000408
ko00983	Tco_000408
ko01100	Tco_000408
ko01110	Tco_000408
ko05204	Tco_000408
ko04146	Tco_000409
ko04024	Tco_000420
ko04080	Tco_000420
ko04727	Tco_000420
ko04742	Tco_000420
ko04915	Tco_000420
ko05032	Tco_000420
ko03018	Tco_000438
ko03440	Tco_000439
ko03450	Tco_000439
ko04218	Tco_000439
ko03010	Tco_000441
ko00230	Tco_000512
ko00240	Tco_000512
ko00510	Tco_000512
ko01100	Tco_000512
ko03020	Tco_000512
ko04623	Tco_000512
ko05169	Tco_000512
ko05205	Tco_000513
ko04391	Tco_000525
ko04392	Tco_000525
ko04391	Tco_000526
ko04392	Tco_000526
ko04391	Tco_000527
ko04392	Tco_000527
ko00562	Tco_000528
ko01100	Tco_000528
ko04070	Tco_000528
ko04138	Tco_000534
ko04138	Tco_000535
ko04138	Tco_000536
ko04138	Tco_000538
ko04141	Tco_000540
ko04213	Tco_000540
ko04141	Tco_000541
ko04213	Tco_000541
ko04120	Tco_000545
ko04120	Tco_000550
ko04141	Tco_000551
ko04145	Tco_000551
ko04612	Tco_000551
ko04918	Tco_000551
ko05166	Tco_000551
ko03013	Tco_000558
ko05418	Tco_000558
ko04512	Tco_000561
ko04512	Tco_000562
ko03013	Tco_000565
ko00562	Tco_000566
ko01100	Tco_000566
ko04070	Tco_000566
ko04138	Tco_000566
ko04013	Tco_000567
ko04024	Tco_000574
ko04740	Tco_000574
ko04024	Tco_000575
ko04740	Tco_000575
ko00230	Tco_000581
ko00240	Tco_000581
ko01100	Tco_000581
ko03030	Tco_000581
ko03410	Tco_000581
ko03420	Tco_000581
ko03430	Tco_000581
ko03440	Tco_000581
ko05166	Tco_000581
ko00230	Tco_000584
ko00240	Tco_000584
ko01100	Tco_000584
ko03030	Tco_000584
ko03410	Tco_000584
ko03420	Tco_000584
ko03430	Tco_000584
ko03440	Tco_000584
ko05166	Tco_000584
ko00270	Tco_000600
ko01100	Tco_000600
ko01110	Tco_000600
ko01230	Tco_000600
ko05100	Tco_000604
ko00520	Tco_000605
ko01130	Tco_000605
ko03010	Tco_000607
ko03030	Tco_000617
ko03420	Tco_000617
ko03430	Tco_000617
ko00510	Tco_000621
ko01100	Tco_000621
ko00190	Tco_000627
ko01100	Tco_000627
ko04714	Tco_000627
ko04723	Tco_000627
ko04932	Tco_000627
ko05010	Tco_000627
ko05012	Tco_000627
ko05016	Tco_000627
ko03040	Tco_000628
ko00230	Tco_000631
ko00240	Tco_000631
ko00480	Tco_000631
ko00983	Tco_000631
ko01100	Tco_000631
ko00785	Tco_000637
ko01100	Tco_000637
ko00061	Tco_000655
ko00071	Tco_000655
ko01100	Tco_000655
ko01212	Tco_000655
ko02024	Tco_000655
ko03320	Tco_000655
ko04146	Tco_000655
ko04216	Tco_000655
ko04714	Tco_000655
ko04920	Tco_000655
ko00061	Tco_000661
ko00071	Tco_000661
ko01100	Tco_000661
ko01212	Tco_000661
ko02024	Tco_000661
ko03320	Tco_000661
ko04146	Tco_000661
ko04216	Tco_000661
ko04714	Tco_000661
ko04920	Tco_000661
ko00140	Tco_000663
ko00510	Tco_000664
ko00513	Tco_000664
ko01100	Tco_000664
ko04141	Tco_000664
ko00510	Tco_000665
ko00513	Tco_000665
ko01100	Tco_000665
ko04141	Tco_000665
ko05410	Tco_000672
ko05412	Tco_000672
ko05414	Tco_000672
ko05416	Tco_000672
ko00510	Tco_000673
ko00513	Tco_000673
ko01100	Tco_000673
ko03010	Tco_000676
ko04137	Tco_000692
ko04217	Tco_000692
ko04218	Tco_000692
ko04380	Tco_000692
ko05418	Tco_000692
ko05410	Tco_000696
ko05412	Tco_000696
ko05414	Tco_000696
ko05416	Tco_000696
ko00531	Tco_000703
ko01100	Tco_000703
ko04142	Tco_000703
ko03008	Tco_000715
ko03013	Tco_000715
ko03015	Tco_000715
ko05164	Tco_000715
ko04360	Tco_000723
ko04745	Tco_000723
ko04550	Tco_000745
ko04950	Tco_000745
ko05010	Tco_000746
ko05120	Tco_000746
ko04550	Tco_000747
ko04950	Tco_000747
ko04550	Tco_000750
ko04950	Tco_000750
ko00500	Tco_000754
ko01100	Tco_000754
ko04151	Tco_000754
ko04152	Tco_000754
ko04910	Tco_000754
ko04922	Tco_000754
ko04931	Tco_000754
ko04141	Tco_000756
ko04218	Tco_000759
ko03440	Tco_000768
ko03460	Tco_000768
ko03013	Tco_000779
ko05416	Tco_000779
ko03015	Tco_000795
ko04970	Tco_000795
ko04360	Tco_000802
ko04745	Tco_000802
ko03440	Tco_000804
ko03460	Tco_000804
ko05200	Tco_000804
ko05212	Tco_000804
ko05224	Tco_000804
ko03015	Tco_000808
ko04022	Tco_000808
ko04024	Tco_000808
ko04113	Tco_000808
ko04114	Tco_000808
ko04218	Tco_000808
ko04261	Tco_000808
ko04270	Tco_000808
ko04390	Tco_000808
ko04510	Tco_000808
ko04611	Tco_000808
ko04720	Tco_000808
ko04728	Tco_000808
ko04750	Tco_000808
ko04810	Tco_000808
ko04910	Tco_000808
ko04915	Tco_000808
ko04921	Tco_000808
ko04931	Tco_000808
ko05031	Tco_000808
ko05034	Tco_000808
ko05168	Tco_000808
ko05205	Tco_000808
ko00230	Tco_000812
ko00240	Tco_000812
ko01100	Tco_000812
ko03020	Tco_000812
ko04623	Tco_000812
ko05169	Tco_000812
ko03030	Tco_000823
ko04110	Tco_000823
ko04111	Tco_000823
ko04113	Tco_000823
ko00561	Tco_000827
ko01100	Tco_000827
ko04714	Tco_000827
ko04923	Tco_000827
ko03022	Tco_000831
ko00565	Tco_000833
ko00565	Tco_000836
ko04010	Tco_000838
ko04013	Tco_000838
ko03430	Tco_000842
ko03460	Tco_000842
ko04142	Tco_000859
ko04210	Tco_000859
ko03010	Tco_000860
ko03015	Tco_000861
ko03010	Tco_000862
ko00190	Tco_000863
ko01100	Tco_000863
ko04260	Tco_000863
ko04714	Tco_000863
ko04932	Tco_000863
ko05010	Tco_000863
ko05012	Tco_000863
ko05016	Tco_000863
ko04020	Tco_000864
ko04910	Tco_000864
ko04922	Tco_000864
ko03008	Tco_000865
ko03013	Tco_000865
ko01523	Tco_000868
ko04010	Tco_000868
ko04014	Tco_000868
ko04024	Tco_000868
ko04062	Tco_000868
ko04064	Tco_000868
ko04066	Tco_000868
ko04071	Tco_000868
ko04151	Tco_000868
ko04210	Tco_000868
ko04211	Tco_000868
ko04218	Tco_000868
ko04380	Tco_000868
ko04620	Tco_000868
ko04621	Tco_000868
ko04622	Tco_000868
ko04623	Tco_000868
ko04624	Tco_000868
ko04657	Tco_000868
ko04658	Tco_000868
ko04659	Tco_000868
ko04660	Tco_000868
ko04662	Tco_000868
ko04668	Tco_000868
ko04722	Tco_000868
ko04917	Tco_000868
ko04920	Tco_000868
ko04926	Tco_000868
ko04931	Tco_000868
ko04932	Tco_000868
ko04933	Tco_000868
ko05030	Tco_000868
ko05120	Tco_000868
ko05131	Tco_000868
ko05132	Tco_000868
ko05133	Tco_000868
ko05134	Tco_000868
ko05140	Tco_000868
ko05142	Tco_000868
ko05145	Tco_000868
ko05146	Tco_000868
ko05152	Tco_000868
ko05160	Tco_000868
ko05161	Tco_000868
ko05162	Tco_000868
ko05164	Tco_000868
ko05165	Tco_000868
ko05166	Tco_000868
ko05167	Tco_000868
ko05168	Tco_000868
ko05169	Tco_000868
ko05200	Tco_000868
ko05202	Tco_000868
ko05203	Tco_000868
ko05206	Tco_000868
ko05212	Tco_000868
ko05215	Tco_000868
ko05220	Tco_000868
ko05221	Tco_000868
ko05222	Tco_000868
ko05224	Tco_000868
ko05321	Tco_000868
ko05418	Tco_000868
ko04612	Tco_000872
ko05152	Tco_000872
ko04150	Tco_000877
ko00230	Tco_000898
ko00240	Tco_000898
ko01100	Tco_000898
ko03020	Tco_000898
ko05016	Tco_000898
ko05169	Tco_000898
ko05132	Tco_000903
ko04110	Tco_000905
ko04152	Tco_000905
ko04218	Tco_000905
ko04914	Tco_000905
ko05161	Tco_000905
ko05165	Tco_000905
ko05169	Tco_000905
ko05203	Tco_000905
ko03010	Tco_000906
ko03008	Tco_000908
ko04141	Tco_000908
ko05134	Tco_000908
ko00970	Tco_000912
ko04150	Tco_000913
ko04140	Tco_000920
ko00770	Tco_000921
ko00230	Tco_000922
ko04022	Tco_000922
ko04270	Tco_000922
ko04540	Tco_000922
ko04611	Tco_000922
ko04713	Tco_000922
ko04730	Tco_000922
ko04921	Tco_000922
ko04924	Tco_000922
ko04970	Tco_000922
ko00230	Tco_000926
ko04022	Tco_000926
ko04270	Tco_000926
ko04540	Tco_000926
ko04611	Tco_000926
ko04713	Tco_000926
ko04730	Tco_000926
ko04921	Tco_000926
ko04924	Tco_000926
ko04970	Tco_000926
ko05010	Tco_000928
ko05120	Tco_000928
ko00520	Tco_000931
ko03015	Tco_000933
ko04110	Tco_000935
ko04111	Tco_000935
ko04113	Tco_000935
ko04214	Tco_000937
ko04390	Tco_000937
ko04391	Tco_000937
ko04392	Tco_000937
ko00750	Tco_000938
ko01100	Tco_000938
ko03018	Tco_000939
ko04714	Tco_000943
ko04214	Tco_000946
ko04390	Tco_000946
ko04391	Tco_000946
ko04392	Tco_000946
ko03410	Tco_000953
ko04210	Tco_000953
ko04212	Tco_000953
ko04214	Tco_000953
ko04217	Tco_000953
ko00981	Tco_000958
ko00072	Tco_000966
ko00650	Tco_000966
ko01100	Tco_000966
ko04010	Tco_000967
ko04114	Tco_000967
ko04150	Tco_000967
ko04714	Tco_000967
ko04720	Tco_000967
ko04722	Tco_000967
ko04914	Tco_000967
ko04931	Tco_000967
ko03013	Tco_000969
ko04144	Tco_000970
ko04217	Tco_000970
ko04120	Tco_000971
ko04120	Tco_000973
ko00230	Tco_000974
ko00240	Tco_000974
ko01100	Tco_000974
ko03020	Tco_000974
ko04623	Tco_000974
ko05016	Tco_000974
ko05169	Tco_000974
ko00270	Tco_000978
ko00330	Tco_000978
ko00410	Tco_000978
ko00480	Tco_000978
ko01100	Tco_000978
ko00270	Tco_000979
ko00330	Tco_000979
ko00410	Tco_000979
ko00480	Tco_000979
ko01100	Tco_000979
ko01521	Tco_000984
ko04062	Tco_000984
ko04068	Tco_000984
ko04137	Tco_000984
ko04151	Tco_000984
ko04152	Tco_000984
ko04211	Tco_000984
ko04212	Tco_000984
ko04213	Tco_000984
ko04218	Tco_000984
ko04722	Tco_000984
ko04917	Tco_000984
ko05213	Tco_000984
ko05223	Tco_000984
ko04144	Tco_000986
ko05200	Tco_000988
ko05216	Tco_000988
ko04138	Tco_000990
ko00310	Tco_000992
ko03013	Tco_000992
ko00052	Tco_000993
ko00510	Tco_000993
ko00513	Tco_000993
ko00514	Tco_000993
ko00515	Tco_000993
ko00533	Tco_000993
ko00600	Tco_000993
ko00601	Tco_000993
ko01100	Tco_000993
ko00052	Tco_000995
ko00510	Tco_000995
ko00513	Tco_000995
ko00514	Tco_000995
ko00515	Tco_000995
ko00533	Tco_000995
ko00601	Tco_000995
ko01100	Tco_000995
ko04141	Tco_000998
ko05010	Tco_001000
ko05120	Tco_001000
ko05010	Tco_001004
ko05120	Tco_001004
ko04013	Tco_001010
ko00970	Tco_001013
ko00860	Tco_001014
ko01100	Tco_001014
ko01110	Tco_001014
ko05010	Tco_001017
ko05120	Tco_001017
ko04144	Tco_001021
ko04979	Tco_001021
ko03010	Tco_001022
ko04659	Tco_001023
ko04934	Tco_001023
ko04659	Tco_001024
ko04934	Tco_001024
ko01524	Tco_001038
ko04064	Tco_001038
ko04120	Tco_001038
ko04210	Tco_001038
ko04215	Tco_001038
ko04217	Tco_001038
ko04510	Tco_001038
ko04621	Tco_001038
ko04624	Tco_001038
ko04668	Tco_001038
ko05145	Tco_001038
ko05200	Tco_001038
ko05222	Tco_001038
ko03040	Tco_001041
ko05231	Tco_001045
ko05231	Tco_001046
ko05231	Tco_001047
ko05231	Tco_001048
ko04144	Tco_001052
ko04550	Tco_001055
ko05010	Tco_001062
ko05120	Tco_001062
ko04621	Tco_001065
ko04622	Tco_001065
ko04623	Tco_001065
ko00280	Tco_001068
ko00640	Tco_001068
ko01100	Tco_001068
ko01110	Tco_001068
ko01130	Tco_001068
ko00040	Tco_001070
ko01100	Tco_001070
ko03010	Tco_001071
ko00190	Tco_001075
ko01100	Tco_001075
ko04714	Tco_001075
ko03022	Tco_001076
ko05168	Tco_001076
ko00510	Tco_001077
ko00513	Tco_001077
ko01100	Tco_001077
ko04141	Tco_001077
ko03010	Tco_001082
ko00900	Tco_001086
ko01130	Tco_001086
ko04310	Tco_001088
ko00564	Tco_001095
ko00564	Tco_001096
ko05231	Tco_001101
ko04013	Tco_001102
ko04014	Tco_001103
ko04015	Tco_001103
ko04024	Tco_001103
ko04062	Tco_001103
ko04530	Tco_001103
ko04810	Tco_001103
ko05205	Tco_001103
ko03008	Tco_001106
ko04115	Tco_001107
ko03040	Tco_001111
ko03018	Tco_001117
ko03018	Tco_001118
ko04142	Tco_001119
ko03040	Tco_001123
ko00620	Tco_001125
ko00710	Tco_001125
ko01100	Tco_001125
ko01120	Tco_001125
ko01200	Tco_001125
ko00270	Tco_001126
ko00330	Tco_001126
ko01100	Tco_001126
ko00190	Tco_001128
ko01100	Tco_001128
ko04714	Tco_001128
ko04723	Tco_001128
ko04932	Tco_001128
ko05010	Tco_001128
ko05012	Tco_001128
ko05016	Tco_001128
ko04010	Tco_001130
ko04350	Tco_001131
ko04550	Tco_001131
ko04391	Tco_001134
ko04146	Tco_001143
ko04213	Tco_001143
ko05014	Tco_001143
ko05016	Tco_001143
ko05020	Tco_001143
ko04140	Tco_001156
ko04142	Tco_001156
ko04210	Tco_001156
ko04612	Tco_001156
ko04621	Tco_001156
ko04924	Tco_001156
ko04140	Tco_001157
ko04142	Tco_001157
ko04210	Tco_001157
ko04612	Tco_001157
ko04621	Tco_001157
ko04924	Tco_001157
ko00780	Tco_001158
ko01100	Tco_001158
ko00780	Tco_001159
ko01100	Tco_001159
ko03060	Tco_001166
ko04141	Tco_001166
ko04144	Tco_001167
ko00900	Tco_001170
ko01110	Tco_001170
ko04120	Tco_001172
ko03060	Tco_001173
ko05202	Tco_001174
ko04530	Tco_001182
ko04810	Tco_001182
ko05205	Tco_001182
ko05206	Tco_001182
ko04013	Tco_001185
ko04068	Tco_001185
ko04146	Tco_001185
ko04211	Tco_001185
ko04212	Tco_001185
ko04213	Tco_001185
ko05016	Tco_001185
ko00010	Tco_001198
ko00020	Tco_001198
ko00620	Tco_001198
ko01100	Tco_001198
ko01110	Tco_001198
ko01120	Tco_001198
ko01130	Tco_001198
ko01200	Tco_001198
ko04066	Tco_001198
ko04922	Tco_001198
ko05230	Tco_001198
ko00900	Tco_001201
ko01110	Tco_001201
ko04151	Tco_001207
ko04510	Tco_001207
ko04512	Tco_001207
ko04611	Tco_001207
ko04926	Tco_001207
ko04933	Tco_001207
ko04974	Tco_001207
ko05146	Tco_001207
ko05165	Tco_001207
ko05200	Tco_001207
ko05222	Tco_001207
ko00310	Tco_001208
ko04120	Tco_001208
ko04934	Tco_001208
ko05202	Tco_001208
ko04745	Tco_001221
ko04013	Tco_001254
ko00562	Tco_001264
ko01100	Tco_001264
ko04070	Tco_001264
ko00562	Tco_001265
ko01100	Tco_001265
ko04070	Tco_001265
ko04530	Tco_001271
ko04530	Tco_001272
ko03013	Tco_001273
ko03040	Tco_001274
ko03013	Tco_001275
ko03015	Tco_001275
ko03040	Tco_001275
ko04020	Tco_001275
ko04080	Tco_001275
ko05164	Tco_001275
ko04360	Tco_001284
ko04745	Tco_001284
ko00970	Tco_001285
ko00030	Tco_001286
ko01100	Tco_001286
ko01110	Tco_001286
ko01120	Tco_001286
ko01130	Tco_001286
ko01200	Tco_001286
ko00970	Tco_001288
ko00030	Tco_001289
ko01100	Tco_001289
ko01110	Tco_001289
ko01120	Tco_001289
ko01130	Tco_001289
ko01200	Tco_001289
ko00350	Tco_001292
ko01100	Tco_001292
ko05164	Tco_001309
ko03010	Tco_001316
ko02010	Tco_001319
ko00240	Tco_001324
ko01100	Tco_001324
ko00970	Tco_001327
ko04714	Tco_001328
ko05225	Tco_001328
ko03010	Tco_001330
ko04010	Tco_001334
ko04013	Tco_001334
ko04064	Tco_001334
ko04214	Tco_001334
ko04380	Tco_001334
ko04620	Tco_001334
ko04621	Tco_001334
ko04624	Tco_001334
ko04657	Tco_001334
ko04668	Tco_001334
ko05140	Tco_001334
ko05145	Tco_001334
ko05162	Tco_001334
ko05168	Tco_001334
ko05169	Tco_001334
ko04115	Tco_001335
ko04211	Tco_001335
ko04115	Tco_001336
ko04150	Tco_001336
ko04211	Tco_001336
ko04924	Tco_001338
ko04972	Tco_001338
ko04924	Tco_001339
ko04972	Tco_001339
ko04924	Tco_001340
ko04972	Tco_001340
ko04924	Tco_001341
ko04972	Tco_001341
ko00010	Tco_001343
ko00051	Tco_001343
ko00052	Tco_001343
ko00500	Tco_001343
ko00520	Tco_001343
ko00521	Tco_001343
ko00524	Tco_001343
ko01100	Tco_001343
ko01110	Tco_001343
ko01120	Tco_001343
ko01130	Tco_001343
ko01200	Tco_001343
ko04066	Tco_001343
ko04910	Tco_001343
ko04930	Tco_001343
ko04973	Tco_001343
ko05230	Tco_001343
ko03013	Tco_001344
ko03015	Tco_001344
ko04218	Tco_001352
ko04150	Tco_001354
ko04310	Tco_001354
ko04390	Tco_001354
ko04550	Tco_001354
ko04916	Tco_001354
ko04934	Tco_001354
ko05165	Tco_001354
ko05166	Tco_001354
ko05200	Tco_001354
ko05205	Tco_001354
ko05217	Tco_001354
ko05224	Tco_001354
ko05225	Tco_001354
ko05226	Tco_001354
ko04080	Tco_001358
ko04926	Tco_001358
ko00240	Tco_001360
ko01100	Tco_001360
ko00970	Tco_001363
ko01100	Tco_001363
ko04214	Tco_001365
ko04010	Tco_001366
ko04013	Tco_001366
ko04064	Tco_001366
ko04140	Tco_001366
ko04152	Tco_001366
ko04214	Tco_001366
ko04310	Tco_001366
ko04380	Tco_001366
ko04520	Tco_001366
ko04620	Tco_001366
ko04621	Tco_001366
ko04622	Tco_001366
ko04624	Tco_001366
ko04657	Tco_001366
ko04660	Tco_001366
ko04668	Tco_001366
ko05140	Tco_001366
ko05145	Tco_001366
ko05162	Tco_001366
ko05168	Tco_001366
ko05169	Tco_001366
ko05418	Tco_001366
ko04924	Tco_001369
ko04972	Tco_001369
ko00590	Tco_001376
ko01100	Tco_001376
ko00590	Tco_001377
